Timestamp;Log Entry Type;Data
12;1;3,10,0,0
12;1;3,20,0,0,0,0,0,0
1001;4;Controlling something...
1001;3;20202020
22;1;3,1484835327,-1020657664,131072
22;1;3,2-1073283072,1074200576,-1020854144,2555904,4063424,524352,1008205824
32;1;3,1484835327,-1020329984,131072
32;1;3,2-1073283072,1074200576,-1020854144,2555904,4063424,524352,1008205824
42;1;3,1484835327,-1020329984,131072
42;1;3,2-1073283072,1074200576,-1020854144,2555904,4063424,524352,1008205824
52;1;3,1484835327,-1020002304,131072
52;1;3,2-1073283072,1074200576,-1020854144,2555904,4063424,524352,1008205824
62;1;3,1484835327,-1019674624,131072
62;1;3,2-1073283072,1074200576,-1020854144,2555904,4063424,524352,1008205824
72;1;3,1484835327,-1019674624,1073872896
72;1;3,2-1073283072,-1073283072,-1019543424,2555904,4063424,524352,1008205824
82;1;3,1484835327,-1019346944,1073872896
82;1;3,2-1073283072,-1073283072,-1019543424,2555904,4063424,524352,1008205824
92;1;3,1484835327,-1019346944,1073872896
92;1;3,2-1073283072,-1073283072,-1019543424,2555904,4063424,524352,1008205824
102;1;3,1484835327,-1023213568,1073872960
102;1;3,2-1073283072,-1073283072,-1019543424,2555904,4063424,524352,1008205824
112;1;3,1484835327,-1023213568,1073872960
112;1;3,2-1073283072,-1073283072,-1019543424,2555904,4063424,524352,1008205824
122;1;3,1484835327,-1022885888,1073872960
122;1;3,2-1073283072,-1073283072,-1019543424,2555904,4063424,524352,1008205824
132;1;3,1484835327,-1022885888,1073872960
132;1;3,2-1073283072,-1073283072,-1019543424,2555904,4063424,524352,1008205824
142;1;3,1484835327,-1022558208,1073872960
142;1;3,2-1073283072,-1073283072,-1019543424,2555904,4063424,524352,1008205824
152;1;3,1484835327,-1022558208,3221291072
152;1;3,2-1073283072,-1073283072,-1022427008,2555904,4063424,524352,1008205888
162;1;3,1484835327,-1022230528,3221291072
162;1;3,2-1073283072,-1073283072,-1022427008,2555904,4063424,524352,1008205888
172;1;3,1484835327,-1022230528,3221291072
172;1;3,2-1073283072,-1073283072,-1022427008,2555904,4063424,524352,1008205888
182;1;3,1484835327,-1021902848,3221291072
182;1;3,2-1073283072,-1073283072,-1022427008,2555904,4063424,524352,1008205888
192;1;3,1484835327,-1021902848,3221291072
192;1;3,2-1073283072,-1073283072,-1022427008,2555904,4063424,524352,1008205888
202;1;3,1484835327,-1021575168,3221291072
202;1;3,2-1073283072,-1073283072,-1022427008,2555904,4063424,524352,1008205888
212;1;3,1484835327,-1021575168,3221291072
212;1;3,2-1073283072,-1073283072,-1022427008,2555904,4063424,524352,1008205888
