Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Pressure,Temperature
6,811,0.811,SENSOR,1,0,BARO,0,0.0
8,811,0.811,SENSOR,2,0,BARO,0,0.0
10,811,0.811,SENSOR,3,0,BARO,0,0.0
12,821,0.821,SENSOR,1,0,BARO,0,0.0
14,821,0.821,SENSOR,2,22423,BARO,95712,25.55
16,821,0.821,SENSOR,3,22583,BARO,95682,25.81
18,831,0.831,SENSOR,1,22523,BARO,95728,26.73
20,831,0.831,SENSOR,2,22433,BARO,95693,25.55
22,831,0.831,SENSOR,3,22593,BARO,95661,25.81
24,841,0.841,SENSOR,1,22533,BARO,95728,26.73
26,841,0.841,SENSOR,2,22443,BARO,95712,25.55
28,841,0.841,SENSOR,3,22603,BARO,95661,25.81
30,851,0.851,SENSOR,1,22543,BARO,95728,26.73
32,851,0.851,SENSOR,2,22453,BARO,95727,25.53
34,851,0.851,SENSOR,3,22613,BARO,95639,25.81
36,861,0.861,SENSOR,1,22553,BARO,95706,26.71
38,861,0.861,SENSOR,2,22463,BARO,95712,25.55
40,861,0.861,SENSOR,3,22623,BARO,95661,25.81
42,871,0.871,SENSOR,1,22563,BARO,95728,26.73
44,871,0.871,SENSOR,2,22473,BARO,95712,25.55
46,871,0.871,SENSOR,3,22633,BARO,95664,25.82
48,881,0.881,SENSOR,1,22573,BARO,95747,26.73
50,881,0.881,SENSOR,2,22483,BARO,95712,25.55
52,881,0.881,SENSOR,3,22643,BARO,95661,25.81
54,891,0.891,SENSOR,1,22583,BARO,95728,26.73
56,891,0.891,SENSOR,2,22493,BARO,95708,25.53
58,891,0.891,SENSOR,3,22653,BARO,95661,25.81
60,901,0.901,SENSOR,1,22593,BARO,95728,26.73
62,901,0.901,SENSOR,2,22503,BARO,95712,25.55
64,901,0.901,SENSOR,3,22663,BARO,95661,25.81
67,911,0.911,SENSOR,1,22613,BARO,95724,26.71
69,911,0.911,SENSOR,2,22513,BARO,95712,25.55
71,911,0.911,SENSOR,3,22673,BARO,95661,25.81
74,921,0.921,SENSOR,1,22613,BARO,95724,26.71
76,921,0.921,SENSOR,2,22523,BARO,95712,25.55
78,921,0.921,SENSOR,3,22683,BARO,95661,25.81
81,931,0.931,SENSOR,1,22623,BARO,95728,26.73
83,931,0.931,SENSOR,2,22533,BARO,95712,25.55
85,931,0.931,SENSOR,3,22693,BARO,95661,25.81
88,941,0.941,SENSOR,1,22633,BARO,95747,26.73
90,941,0.941,SENSOR,2,22543,BARO,95712,25.55
92,941,0.941,SENSOR,3,22703,BARO,95639,25.81
95,951,0.951,SENSOR,1,22643,BARO,95724,26.71
97,951,0.951,SENSOR,2,22553,BARO,95712,25.55
99,951,0.951,SENSOR,3,22713,BARO,95661,25.81
102,961,0.961,SENSOR,1,22653,BARO,95728,26.73
104,961,0.961,SENSOR,2,22563,BARO,95712,25.55
106,961,0.961,SENSOR,3,22723,BARO,95661,25.81
109,971,0.971,SENSOR,1,22663,BARO,95724,26.71
111,971,0.971,SENSOR,2,22573,BARO,95693,25.55
113,971,0.971,SENSOR,3,22733,BARO,95661,25.81
116,981,0.981,SENSOR,1,22673,BARO,95728,26.71
118,981,0.981,SENSOR,2,22583,BARO,95712,25.55
120,981,0.981,SENSOR,3,22743,BARO,95661,25.81
123,991,0.991,SENSOR,1,22693,BARO,95728,26.73
125,991,0.991,SENSOR,2,22593,BARO,95712,25.55
127,991,0.991,SENSOR,3,22753,BARO,95661,25.81
130,1001,1.001,SENSOR,1,22703,BARO,95728,26.73
132,1001,1.001,SENSOR,2,22603,BARO,95712,25.55
134,1001,1.001,SENSOR,3,22763,BARO,95661,25.81
138,1011,1.011,SENSOR,1,22713,BARO,95724,26.71
140,1011,1.011,SENSOR,2,22613,BARO,95712,25.55
142,1011,1.011,SENSOR,3,22773,BARO,95661,25.81
149,1021,1.021,SENSOR,1,22723,BARO,95728,26.73
151,1021,1.021,SENSOR,2,22623,BARO,95712,25.55
153,1021,1.021,SENSOR,3,22783,BARO,95661,25.81
157,1031,1.031,SENSOR,1,22733,BARO,95743,26.71
159,1031,1.031,SENSOR,2,22633,BARO,95712,25.55
161,1031,1.031,SENSOR,3,22793,BARO,95661,25.81
165,1041,1.041,SENSOR,1,22743,BARO,95728,26.73
167,1041,1.041,SENSOR,2,22643,BARO,95731,25.55
169,1041,1.041,SENSOR,3,22803,BARO,95682,25.81
173,1051,1.051,SENSOR,1,22753,BARO,95728,26.73
175,1051,1.051,SENSOR,2,22653,BARO,95712,25.55
177,1051,1.051,SENSOR,3,22813,BARO,95682,25.81
181,1061,1.061,SENSOR,1,22763,BARO,95728,26.73
183,1061,1.061,SENSOR,2,22663,BARO,95712,25.55
185,1061,1.061,SENSOR,3,22823,BARO,95661,25.81
189,1071,1.071,SENSOR,1,22773,BARO,95724,26.71
191,1071,1.071,SENSOR,2,22673,BARO,95712,25.55
193,1071,1.071,SENSOR,3,22833,BARO,95661,25.81
197,1081,1.081,SENSOR,1,22783,BARO,95728,26.73
199,1081,1.081,SENSOR,2,22683,BARO,95712,25.55
201,1081,1.081,SENSOR,3,22843,BARO,95639,25.81
205,1091,1.091,SENSOR,1,22793,BARO,95724,26.71
207,1091,1.091,SENSOR,2,22693,BARO,95712,25.55
209,1091,1.091,SENSOR,3,22853,BARO,95661,25.81
213,1101,1.101,SENSOR,1,22803,BARO,95743,26.71
215,1101,1.101,SENSOR,2,22703,BARO,95712,25.55
217,1101,1.101,SENSOR,3,22863,BARO,95682,25.81
222,1111,1.111,SENSOR,1,22813,BARO,95747,26.73
