Log Entry,Timestamp,Time_s,Log Entry Type,World Position (z),Rocket Velocity (z),Rocket Acceleration (z)
66,901,0.901,ESTIMATOR_VAR,0.0,0.001,0.188
73,911,0.911,ESTIMATOR_VAR,0.0,0.003,0.185
80,921,0.921,ESTIMATOR_VAR,0.0,0.005,0.188
87,931,0.931,ESTIMATOR_VAR,0.0,0.007,0.182
94,941,0.941,ESTIMATOR_VAR,0.0,0.009,0.185
101,951,0.951,ESTIMATOR_VAR,0.0,0.012,0.185
108,961,0.961,ESTIMATOR_VAR,0.0,0.014,0.178
115,971,0.971,ESTIMATOR_VAR,0.001,0.016,0.172
122,981,0.981,ESTIMATOR_VAR,0.001,0.019,0.175
129,991,0.991,ESTIMATOR_VAR,0.001,0.022,0.182
146,1006,1.006,ESTIMATOR_VAR,0.002,0.025,0.175
154,1011,1.011,ESTIMATOR_VAR,0.002,0.028,0.185
162,1021,1.021,ESTIMATOR_VAR,0.003,0.031,0.143
170,1031,1.031,ESTIMATOR_VAR,0.003,0.033,0.138
178,1043,1.043,ESTIMATOR_VAR,0.004,0.037,0.182
186,1051,1.051,ESTIMATOR_VAR,0.004,0.042,0.172
194,1063,1.063,ESTIMATOR_VAR,0.005,0.047,0.182
202,1071,1.071,ESTIMATOR_VAR,0.006,0.052,0.185
210,1083,1.083,ESTIMATOR_VAR,0.007,0.057,0.185
218,1091,1.091,ESTIMATOR_VAR,0.008,0.063,0.185
227,1104,1.104,ESTIMATOR_VAR,0.01,0.07,0.188
236,1114,1.114,ESTIMATOR_VAR,0.011,0.076,0.175
245,1123,1.123,ESTIMATOR_VAR,0.013,0.083,0.175
254,1133,1.133,ESTIMATOR_VAR,0.015,0.091,0.178
263,1143,1.143,ESTIMATOR_VAR,0.017,0.099,0.178
272,1153,1.153,ESTIMATOR_VAR,0.019,0.108,0.182
281,1163,1.163,ESTIMATOR_VAR,0.022,0.117,0.178
290,1173,1.173,ESTIMATOR_VAR,0.024,0.127,0.175
299,1183,1.183,ESTIMATOR_VAR,0.027,0.137,0.172
308,1193,1.193,ESTIMATOR_VAR,0.031,0.148,0.172
317,1204,1.204,ESTIMATOR_VAR,0.034,0.16,0.172
326,1213,1.213,ESTIMATOR_VAR,0.038,0.172,0.169
335,1223,1.223,ESTIMATOR_VAR,0.042,0.185,0.182
344,1233,1.233,ESTIMATOR_VAR,0.047,0.198,0.172
353,1243,1.243,ESTIMATOR_VAR,0.052,0.212,0.169
362,1253,1.253,ESTIMATOR_VAR,0.057,0.227,0.169
371,1263,1.263,ESTIMATOR_VAR,0.063,0.243,0.178
380,1273,1.273,ESTIMATOR_VAR,0.069,0.26,0.172
389,1283,1.283,ESTIMATOR_VAR,0.076,0.277,0.182
398,1293,1.293,ESTIMATOR_VAR,0.083,0.295,0.175
407,1304,1.304,ESTIMATOR_VAR,0.091,0.314,0.182
416,1313,1.313,ESTIMATOR_VAR,0.099,0.334,0.182
425,1323,1.323,ESTIMATOR_VAR,0.108,0.355,0.178
434,1333,1.333,ESTIMATOR_VAR,0.117,0.376,0.175
443,1343,1.343,ESTIMATOR_VAR,0.127,0.399,0.178
452,1353,1.353,ESTIMATOR_VAR,0.138,0.422,0.182
461,1363,1.363,ESTIMATOR_VAR,0.149,0.446,0.185
470,1373,1.373,ESTIMATOR_VAR,0.162,0.472,0.178
479,1383,1.383,ESTIMATOR_VAR,0.174,0.498,0.178
488,1393,1.393,ESTIMATOR_VAR,0.188,0.525,0.185
497,1404,1.404,ESTIMATOR_VAR,0.202,0.554,0.178
506,1414,1.414,ESTIMATOR_VAR,0.217,0.583,0.169
515,1423,1.423,ESTIMATOR_VAR,0.233,0.613,0.159
524,1433,1.433,ESTIMATOR_VAR,0.25,0.645,0.172
533,1443,1.443,ESTIMATOR_VAR,0.268,0.677,0.188
542,1453,1.453,ESTIMATOR_VAR,0.287,0.711,0.188
551,1463,1.463,ESTIMATOR_VAR,0.307,0.746,0.185
560,1473,1.473,ESTIMATOR_VAR,0.328,0.782,0.188
569,1483,1.483,ESTIMATOR_VAR,0.349,0.82,0.191
578,1493,1.493,ESTIMATOR_VAR,0.372,0.859,0.188
591,1507,1.507,ESTIMATOR_VAR,0.396,0.898,0.185
597,1512,1.512,ESTIMATOR_VAR,0.422,0.939,0.175
603,1521,1.521,ESTIMATOR_VAR,0.431,0.941,0.175
617,1533,1.533,ESTIMATOR_VAR,0.458,0.984,0.185
626,1543,1.543,ESTIMATOR_VAR,0.485,1.027,0.182
635,1553,1.553,ESTIMATOR_VAR,0.514,1.072,0.185
644,1563,1.563,ESTIMATOR_VAR,0.545,1.118,0.182
653,1573,1.573,ESTIMATOR_VAR,0.576,1.166,0.182
662,1583,1.583,ESTIMATOR_VAR,0.609,1.215,0.182
671,1593,1.593,ESTIMATOR_VAR,0.644,1.265,0.178
680,1604,1.604,ESTIMATOR_VAR,0.68,1.317,0.182
689,1613,1.613,ESTIMATOR_VAR,0.718,1.37,0.178
698,1623,1.623,ESTIMATOR_VAR,0.757,1.424,0.178
707,1633,1.633,ESTIMATOR_VAR,0.797,1.48,0.172
716,1643,1.643,ESTIMATOR_VAR,0.84,1.538,0.178
725,1653,1.653,ESTIMATOR_VAR,0.884,1.597,0.175
734,1663,1.663,ESTIMATOR_VAR,0.93,1.658,0.172
743,1673,1.673,ESTIMATOR_VAR,0.977,1.72,0.178
752,1683,1.683,ESTIMATOR_VAR,1.027,1.783,0.185
761,1693,1.693,ESTIMATOR_VAR,1.078,1.849,0.185
770,1704,1.704,ESTIMATOR_VAR,1.131,1.916,0.188
779,1714,1.714,ESTIMATOR_VAR,1.187,1.984,0.182
788,1723,1.723,ESTIMATOR_VAR,1.244,2.054,0.182
797,1733,1.733,ESTIMATOR_VAR,1.303,2.126,0.191
806,1743,1.743,ESTIMATOR_VAR,1.365,2.2,0.188
815,1753,1.753,ESTIMATOR_VAR,1.428,2.275,0.191
824,1763,1.763,ESTIMATOR_VAR,1.494,2.352,0.188
833,1773,1.773,ESTIMATOR_VAR,1.562,2.431,0.178
842,1783,1.783,ESTIMATOR_VAR,1.633,2.511,0.182
851,1793,1.793,ESTIMATOR_VAR,1.706,2.593,0.178
860,1804,1.804,ESTIMATOR_VAR,1.781,2.677,0.178
869,1814,1.814,ESTIMATOR_VAR,1.859,2.763,0.182
878,1823,1.823,ESTIMATOR_VAR,1.939,2.851,0.172
887,1833,1.833,ESTIMATOR_VAR,2.022,2.94,0.178
896,1843,1.843,ESTIMATOR_VAR,2.108,3.032,0.185
905,1853,1.853,ESTIMATOR_VAR,2.196,3.125,0.185
914,1863,1.863,ESTIMATOR_VAR,2.287,3.22,0.191
923,1873,1.873,ESTIMATOR_VAR,2.381,3.318,0.188
932,1883,1.883,ESTIMATOR_VAR,2.478,3.417,0.178
941,1893,1.893,ESTIMATOR_VAR,2.555,3.484,0.114
950,1904,1.904,ESTIMATOR_VAR,2.658,3.587,0.185
959,1914,1.914,ESTIMATOR_VAR,2.763,3.691,0.182
968,1923,1.923,ESTIMATOR_VAR,2.872,3.798,0.185
977,1933,1.933,ESTIMATOR_VAR,2.983,3.907,0.182
986,1943,1.943,ESTIMATOR_VAR,3.098,4.019,0.182
995,1953,1.953,ESTIMATOR_VAR,3.216,4.132,0.194
1004,1963,1.963,ESTIMATOR_VAR,3.338,4.247,0.194
1013,1973,1.973,ESTIMATOR_VAR,3.462,4.364,0.188
1022,1983,1.983,ESTIMATOR_VAR,3.591,4.484,0.185
1031,1993,1.993,ESTIMATOR_VAR,3.723,4.605,0.182
1044,2007,2.007,ESTIMATOR_VAR,3.858,4.729,0.185
1050,2012,2.012,ESTIMATOR_VAR,3.997,4.855,0.175
1062,2021,2.021,ESTIMATOR_VAR,4.046,4.857,0.175
1071,2033,2.033,ESTIMATOR_VAR,4.189,4.985,0.172
1080,2043,2.043,ESTIMATOR_VAR,4.335,5.115,0.185
1089,2053,2.053,ESTIMATOR_VAR,4.486,5.247,0.182
1098,2063,2.063,ESTIMATOR_VAR,4.64,5.382,0.188
1107,2073,2.073,ESTIMATOR_VAR,4.799,5.519,0.191
1116,2083,2.083,ESTIMATOR_VAR,4.961,5.659,0.194
1125,2093,2.093,ESTIMATOR_VAR,5.128,5.8,0.178
1134,2104,2.104,ESTIMATOR_VAR,5.298,5.944,0.182
1143,2113,2.113,ESTIMATOR_VAR,5.473,6.09,0.182
1152,2123,2.123,ESTIMATOR_VAR,5.652,6.239,0.185
1161,2133,2.133,ESTIMATOR_VAR,5.836,6.389,0.188
1170,2143,2.143,ESTIMATOR_VAR,6.024,6.543,0.185
1179,2153,2.153,ESTIMATOR_VAR,6.216,6.698,0.178
1188,2163,2.163,ESTIMATOR_VAR,6.413,6.856,0.178
1197,2173,2.173,ESTIMATOR_VAR,6.615,7.016,0.178
1206,2183,2.183,ESTIMATOR_VAR,6.821,7.179,0.172
1215,2193,2.193,ESTIMATOR_VAR,7.032,7.344,0.175
1224,2204,2.204,ESTIMATOR_VAR,7.248,7.511,0.182
1233,2213,2.213,ESTIMATOR_VAR,7.469,7.681,0.182
1242,2223,2.223,ESTIMATOR_VAR,7.695,7.854,0.188
1251,2233,2.233,ESTIMATOR_VAR,7.926,8.029,0.182
1260,2243,2.243,ESTIMATOR_VAR,8.162,8.206,0.188
1269,2253,2.253,ESTIMATOR_VAR,8.403,8.386,0.182
