Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
7,811,0.811,SENSOR,1,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
9,811,0.811,SENSOR,2,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
11,811,0.811,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
13,821,0.821,SENSOR,1,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
15,821,0.821,SENSOR,2,22414,IMU,0.0107421875,-0.0244140625,-0.9970703125,0.1234567901234568,-0.4938271604938272,-0.2777777777777778
17,821,0.821,SENSOR,3,22574,IMU,-0.0126953125,0.025390625,-1.0302734375,-0.154320987654321,0.154320987654321,-0.154320987654321
19,831,0.831,SENSOR,1,22514,IMU,-0.03125,0.0087890625,-1.02734375,0.1851851851851852,-0.2777777777777778,-0.5246913580246914
21,831,0.831,SENSOR,2,22424,IMU,0.009765625,-0.025390625,-0.9970703125,0.1234567901234568,-0.46296296296296297,-0.2777777777777778
23,831,0.831,SENSOR,3,22584,IMU,-0.01171875,0.025390625,-1.03125,-0.154320987654321,0.154320987654321,-0.1234567901234568
25,841,0.841,SENSOR,1,22524,IMU,-0.03125,0.009765625,-1.02734375,0.1851851851851852,-0.2777777777777778,-0.5555555555555556
27,841,0.841,SENSOR,2,22434,IMU,0.009765625,-0.0244140625,-0.9990234375,0.1234567901234568,-0.46296296296296297,-0.2777777777777778
29,841,0.841,SENSOR,3,22594,IMU,-0.01171875,0.025390625,-1.0322265625,-0.1234567901234568,0.1851851851851852,-0.154320987654321
31,851,0.851,SENSOR,1,22534,IMU,-0.03125,0.009765625,-1.02734375,0.154320987654321,-0.2777777777777778,-0.5246913580246914
33,851,0.851,SENSOR,2,22444,IMU,0.009765625,-0.0244140625,-0.998046875,0.1234567901234568,-0.46296296296296297,-0.2777777777777778
35,851,0.851,SENSOR,3,22604,IMU,-0.0126953125,0.025390625,-1.033203125,-0.154320987654321,0.1851851851851852,-0.154320987654321
37,861,0.861,SENSOR,1,22544,IMU,-0.0322265625,0.009765625,-1.0263671875,0.154320987654321,-0.2777777777777778,-0.4938271604938272
39,861,0.861,SENSOR,2,22454,IMU,0.0087890625,-0.025390625,-0.9990234375,0.0925925925925926,-0.4938271604938272,-0.2777777777777778
41,861,0.861,SENSOR,3,22614,IMU,-0.0126953125,0.025390625,-1.0322265625,-0.154320987654321,0.1851851851851852,-0.154320987654321
43,871,0.871,SENSOR,1,22554,IMU,-0.0302734375,0.0107421875,-1.0263671875,0.1851851851851852,-0.2777777777777778,-0.5246913580246914
45,871,0.871,SENSOR,2,22464,IMU,0.009765625,-0.025390625,-0.998046875,0.154320987654321,-0.46296296296296297,-0.308641975308642
47,871,0.871,SENSOR,3,22624,IMU,-0.0126953125,0.0263671875,-1.0322265625,-0.154320987654321,0.1851851851851852,-0.154320987654321
49,881,0.881,SENSOR,1,22564,IMU,-0.03125,0.0107421875,-1.025390625,0.1851851851851852,-0.2777777777777778,-0.5246913580246914
51,881,0.881,SENSOR,2,22474,IMU,0.009765625,-0.0244140625,-0.998046875,0.1234567901234568,-0.4938271604938272,-0.2777777777777778
53,881,0.881,SENSOR,3,22634,IMU,-0.0126953125,0.025390625,-1.0322265625,-0.154320987654321,0.154320987654321,-0.1851851851851852
55,891,0.891,SENSOR,1,22574,IMU,-0.0302734375,0.009765625,-1.025390625,0.1851851851851852,-0.2777777777777778,-0.4938271604938272
57,891,0.891,SENSOR,2,22484,IMU,0.009765625,-0.025390625,-0.998046875,0.1234567901234568,-0.46296296296296297,-0.2777777777777778
59,891,0.891,SENSOR,3,22644,IMU,-0.0126953125,0.025390625,-1.0322265625,-0.154320987654321,0.154320987654321,-0.154320987654321
