Log Entry,Timestamp,Log Entry Type,Data,Time_s
2025,3084,MOTOR,"0,0",3.084
2062,3128,MOTOR,"0,0",3.128
2099,3164,MOTOR,"0,0",3.164
2136,3204,MOTOR,"0,0",3.204
2173,3244,MOTOR,"0,0",3.244
2210,3284,MOTOR,"0,0",3.284
2247,3328,MOTOR,"0,0",3.328
2284,3364,MOTOR,"0,0",3.364
2321,3407,MOTOR,"0,0",3.407
2358,3445,MOTOR,"0,0",3.445
2395,3485,MOTOR,"0,0",3.485
2435,3530,MOTOR,"0,0",3.53
2472,3564,MOTOR,"0,0",3.564
2509,3607,MOTOR,"0,0",3.607
2546,3645,MOTOR,"0,0",3.645
2583,3685,MOTOR,"0,0",3.685
2620,3730,MOTOR,"0,0",3.73
2657,3765,MOTOR,"0,0",3.765
2694,3804,MOTOR,"0,0",3.804
2731,3844,MOTOR,"0,0",3.844
2768,3884,MOTOR,"0,0",3.884
2805,3928,MOTOR,"0,0",3.928
2842,3970,MOTOR,"0,0",3.97
2880,4006,MOTOR,"0,0",4.006
2919,4044,MOTOR,"0,0",4.044
2957,4084,MOTOR,"0,0",4.084
2994,4128,MOTOR,"0,0",4.128
3031,4164,MOTOR,"0,0",4.164
3068,4204,MOTOR,"0,0",4.204
3105,4244,MOTOR,"0,0",4.244
3142,4285,MOTOR,"0,0",4.285
3179,4329,MOTOR,"0,0",4.329
3216,4365,MOTOR,"0,0",4.365
3253,4407,MOTOR,"0,0",4.407
3290,4445,MOTOR,"0,0",4.445
3327,4485,MOTOR,"0,0",4.485
3367,4529,MOTOR,"0,0",4.529
3404,4565,MOTOR,"0,0",4.565
3441,4606,MOTOR,"0,0",4.606
3478,4645,MOTOR,"0,0",4.645
3515,4685,MOTOR,"0,0",4.685
3552,4730,MOTOR,"0,0",4.73
3589,4764,MOTOR,"0,0",4.764
3626,4804,MOTOR,"0,0",4.804
3663,4844,MOTOR,"0,0",4.844
3700,4884,MOTOR,"0,0",4.884
3737,4930,MOTOR,"0,0",4.93
3774,4964,MOTOR,"0,0",4.964
3812,5006,MOTOR,"0,0",5.006
3851,5044,MOTOR,"0,0",5.044
3888,5084,MOTOR,"0,0",5.084
3926,5128,MOTOR,"0,0",5.128
3963,5164,MOTOR,"0,0",5.164
4000,5204,MOTOR,"0,0",5.204
4037,5244,MOTOR,"0,0",5.244
4074,5285,MOTOR,"0,0",5.285
4111,5329,MOTOR,"0,0",5.329
4148,5365,MOTOR,"0,0",5.365
4185,5407,MOTOR,"0,0",5.407
4222,5445,MOTOR,"0,0",5.445
4259,5485,MOTOR,"0,0",5.485
4299,5529,MOTOR,"0,0",5.529
4336,5565,MOTOR,"0,0",5.565
4373,5607,MOTOR,"0,0",5.607
4410,5645,MOTOR,"0,0",5.645
4447,5685,MOTOR,"0,0",5.685
4491,5733,MOTOR,"0,0",5.733
4521,5765,MOTOR,"0,0",5.765
4558,5804,MOTOR,"0,0",5.804
4595,5844,MOTOR,"0,0",5.844
4632,5885,MOTOR,"0,0",5.885
4669,5928,MOTOR,"0,0",5.928
4706,5964,MOTOR,"0,0",5.964
4746,6005,MOTOR,"0,0",6.005
4783,6044,MOTOR,"0,0",6.044
4820,6084,MOTOR,"0,0",6.084
4858,6127,MOTOR,"0,0",6.127
4895,6164,MOTOR,"0,0",6.164
4932,6204,MOTOR,"0,0",6.204
4969,6244,MOTOR,"0,0",6.244
5006,6284,MOTOR,"0,0",6.284
5043,6328,MOTOR,"0,0",6.328
5080,6365,MOTOR,"0,0",6.365
5117,6407,MOTOR,"0,0",6.407
5154,6444,MOTOR,"0,0",6.444
5191,6485,MOTOR,"0,0",6.485
5231,6529,MOTOR,"0,0",6.529
