Log Entry,Timestamp,Log Entry Type,State,Time_s
136,1001,STATE,IDLE,1.001
148,1011,STATE,IDLE,1.011
156,1021,STATE,IDLE,1.021
164,1031,STATE,IDLE,1.031
172,1041,STATE,IDLE,1.041
180,1051,STATE,IDLE,1.051
188,1061,STATE,IDLE,1.061
196,1071,STATE,IDLE,1.071
204,1081,STATE,IDLE,1.081
212,1091,STATE,IDLE,1.091
221,1101,STATE,IDLE,1.101
230,1111,STATE,IDLE,1.111
239,1121,STATE,IDLE,1.121
248,1131,STATE,IDLE,1.131
257,1141,STATE,IDLE,1.141
266,1151,STATE,IDLE,1.151
275,1161,STATE,IDLE,1.161
284,1171,STATE,IDLE,1.171
293,1181,STATE,IDLE,1.181
302,1191,STATE,IDLE,1.191
311,1201,STATE,IDLE,1.201
320,1211,STATE,IDLE,1.211
329,1221,STATE,IDLE,1.221
338,1231,STATE,IDLE,1.231
347,1241,STATE,IDLE,1.241
356,1251,STATE,IDLE,1.251
365,1261,STATE,IDLE,1.261
374,1271,STATE,IDLE,1.271
383,1281,STATE,IDLE,1.281
392,1291,STATE,IDLE,1.291
401,1301,STATE,IDLE,1.301
410,1311,STATE,IDLE,1.311
419,1321,STATE,IDLE,1.321
428,1331,STATE,IDLE,1.331
437,1341,STATE,IDLE,1.341
446,1351,STATE,IDLE,1.351
455,1361,STATE,IDLE,1.361
464,1371,STATE,IDLE,1.371
473,1381,STATE,IDLE,1.381
482,1391,STATE,IDLE,1.391
491,1401,STATE,IDLE,1.401
500,1411,STATE,IDLE,1.411
509,1421,STATE,IDLE,1.421
518,1431,STATE,IDLE,1.431
527,1441,STATE,IDLE,1.441
536,1451,STATE,IDLE,1.451
545,1461,STATE,IDLE,1.461
554,1471,STATE,IDLE,1.471
563,1481,STATE,IDLE,1.481
572,1491,STATE,IDLE,1.491
582,1502,STATE,IDLE,1.502
593,1511,STATE,IDLE,1.511
602,1521,STATE,IDLE,1.521
611,1531,STATE,IDLE,1.531
620,1541,STATE,IDLE,1.541
629,1551,STATE,IDLE,1.551
638,1561,STATE,IDLE,1.561
647,1571,STATE,IDLE,1.571
656,1581,STATE,IDLE,1.581
665,1591,STATE,IDLE,1.591
674,1601,STATE,IDLE,1.601
683,1611,STATE,IDLE,1.611
692,1621,STATE,IDLE,1.621
701,1631,STATE,IDLE,1.631
710,1641,STATE,IDLE,1.641
719,1651,STATE,IDLE,1.651
728,1661,STATE,IDLE,1.661
737,1671,STATE,IDLE,1.671
746,1681,STATE,IDLE,1.681
755,1691,STATE,IDLE,1.691
764,1701,STATE,IDLE,1.701
773,1711,STATE,IDLE,1.711
782,1721,STATE,IDLE,1.721
791,1731,STATE,IDLE,1.731
800,1741,STATE,IDLE,1.741
809,1751,STATE,IDLE,1.751
818,1761,STATE,IDLE,1.761
827,1771,STATE,IDLE,1.771
836,1781,STATE,IDLE,1.781
845,1791,STATE,IDLE,1.791
854,1801,STATE,IDLE,1.801
863,1811,STATE,IDLE,1.811
872,1821,STATE,IDLE,1.821
881,1831,STATE,IDLE,1.831
890,1841,STATE,IDLE,1.841
899,1851,STATE,IDLE,1.851
908,1861,STATE,IDLE,1.861
917,1871,STATE,IDLE,1.871
926,1881,STATE,IDLE,1.881
935,1891,STATE,IDLE,1.891
944,1901,STATE,IDLE,1.901
953,1911,STATE,IDLE,1.911
962,1921,STATE,IDLE,1.921
971,1931,STATE,IDLE,1.931
980,1941,STATE,IDLE,1.941
989,1951,STATE,IDLE,1.951
998,1961,STATE,IDLE,1.961
1007,1971,STATE,IDLE,1.971
1016,1981,STATE,IDLE,1.981
1025,1991,STATE,IDLE,1.991
1035,2002,STATE,IDLE,2.002
1046,2011,STATE,IDLE,2.011
1056,2021,STATE,IDLE,2.021
1065,2031,STATE,IDLE,2.031
1074,2041,STATE,IDLE,2.041
1083,2051,STATE,IDLE,2.051
1092,2061,STATE,IDLE,2.061
1101,2071,STATE,IDLE,2.071
1110,2081,STATE,IDLE,2.081
1119,2091,STATE,IDLE,2.091
1128,2101,STATE,IDLE,2.101
1137,2111,STATE,IDLE,2.111
1146,2121,STATE,IDLE,2.121
1155,2131,STATE,IDLE,2.131
1164,2141,STATE,IDLE,2.141
1173,2151,STATE,IDLE,2.151
1182,2161,STATE,IDLE,2.161
1191,2171,STATE,IDLE,2.171
1200,2181,STATE,IDLE,2.181
1209,2191,STATE,IDLE,2.191
1218,2201,STATE,IDLE,2.201
1227,2211,STATE,IDLE,2.211
1236,2221,STATE,IDLE,2.221
1245,2231,STATE,IDLE,2.231
1254,2241,STATE,IDLE,2.241
1263,2251,STATE,IDLE,2.251
1272,2261,STATE,IDLE,2.261
1281,2271,STATE,IDLE,2.271
1290,2281,STATE,IDLE,2.281
1299,2291,STATE,IDLE,2.291
1308,2301,STATE,IDLE,2.301
1317,2311,STATE,IDLE,2.311
1326,2321,STATE,IDLE,2.321
1335,2331,STATE,IDLE,2.331
1344,2341,STATE,IDLE,2.341
1353,2351,STATE,IDLE,2.351
1362,2361,STATE,IDLE,2.361
1371,2371,STATE,IDLE,2.371
1380,2381,STATE,IDLE,2.381
1389,2391,STATE,IDLE,2.391
1398,2401,STATE,IDLE,2.401
1407,2411,STATE,IDLE,2.411
1416,2421,STATE,IDLE,2.421
1425,2431,STATE,IDLE,2.431
1434,2441,STATE,IDLE,2.441
1443,2451,STATE,IDLE,2.451
1452,2461,STATE,IDLE,2.461
1461,2471,STATE,IDLE,2.471
1470,2481,STATE,IDLE,2.481
1479,2491,STATE,IDLE,2.491
1489,2502,STATE,IDLE,2.502
1500,2511,STATE,IDLE,2.511
1509,2521,STATE,IDLE,2.521
1518,2531,STATE,IDLE,2.531
1527,2541,STATE,IDLE,2.541
1536,2551,STATE,IDLE,2.551
1545,2561,STATE,IDLE,2.561
1554,2571,STATE,IDLE,2.571
1563,2581,STATE,IDLE,2.581
1572,2591,STATE,IDLE,2.591
1581,2601,STATE,IDLE,2.601
1590,2611,STATE,IDLE,2.611
1599,2621,STATE,IDLE,2.621
1608,2631,STATE,IDLE,2.631
1617,2641,STATE,IDLE,2.641
1626,2651,STATE,IDLE,2.651
1635,2661,STATE,IDLE,2.661
1644,2671,STATE,IDLE,2.671
1653,2681,STATE,IDLE,2.681
1662,2691,STATE,IDLE,2.691
1671,2701,STATE,IDLE,2.701
1680,2711,STATE,IDLE,2.711
1689,2721,STATE,IDLE,2.721
1698,2731,STATE,IDLE,2.731
1707,2741,STATE,IDLE,2.741
1716,2751,STATE,IDLE,2.751
1725,2761,STATE,IDLE,2.761
1734,2771,STATE,IDLE,2.771
1743,2781,STATE,IDLE,2.781
1752,2791,STATE,IDLE,2.791
1761,2801,STATE,IDLE,2.801
1770,2811,STATE,IDLE,2.811
1779,2821,STATE,IDLE,2.821
1788,2831,STATE,IDLE,2.831
1797,2841,STATE,IDLE,2.841
1806,2851,STATE,IDLE,2.851
1815,2861,STATE,IDLE,2.861
1824,2871,STATE,IDLE,2.871
1833,2881,STATE,IDLE,2.881
1842,2891,STATE,IDLE,2.891
1851,2901,STATE,IDLE,2.901
1860,2911,STATE,IDLE,2.911
1869,2921,STATE,IDLE,2.921
1878,2931,STATE,IDLE,2.931
1887,2941,STATE,IDLE,2.941
1896,2951,STATE,IDLE,2.951
1905,2961,STATE,IDLE,2.961
1914,2971,STATE,IDLE,2.971
1923,2981,STATE,IDLE,2.981
1932,2991,STATE,IDLE,2.991
1942,3003,STATE,IDLE,3.003
1953,3012,STATE,IDLE,3.012
1962,3021,STATE,IDLE,3.021
1971,3031,STATE,IDLE,3.031
1981,3041,STATE,IDLE,3.041
1990,3051,STATE,IDLE,3.051
1999,3061,STATE,IDLE,3.061
2008,3071,STATE,IDLE,3.071
2017,3081,STATE,IDLE,3.081
2027,3091,STATE,IDLE,3.091
2036,3101,STATE,IDLE,3.101
2045,3111,STATE,IDLE,3.111
2054,3121,STATE,IDLE,3.121
2064,3131,STATE,IDLE,3.131
2073,3141,STATE,IDLE,3.141
2082,3151,STATE,IDLE,3.151
2091,3161,STATE,IDLE,3.161
2101,3171,STATE,IDLE,3.171
2110,3181,STATE,IDLE,3.181
2119,3191,STATE,IDLE,3.191
2128,3201,STATE,IDLE,3.201
2138,3211,STATE,IDLE,3.211
2147,3221,STATE,IDLE,3.221
2156,3231,STATE,IDLE,3.231
2165,3241,STATE,IDLE,3.241
2175,3251,STATE,IDLE,3.251
2184,3261,STATE,IDLE,3.261
2193,3271,STATE,IDLE,3.271
2202,3281,STATE,IDLE,3.281
2212,3291,STATE,IDLE,3.291
2221,3301,STATE,IDLE,3.301
2230,3311,STATE,IDLE,3.311
2239,3321,STATE,IDLE,3.321
2249,3331,STATE,IDLE,3.331
2258,3341,STATE,IDLE,3.341
2267,3351,STATE,IDLE,3.351
2276,3361,STATE,IDLE,3.361
2286,3371,STATE,IDLE,3.371
2295,3381,STATE,IDLE,3.381
2304,3391,STATE,IDLE,3.391
2313,3401,STATE,IDLE,3.401
2323,3411,STATE,IDLE,3.411
2332,3421,STATE,IDLE,3.421
2341,3431,STATE,IDLE,3.431
2350,3441,STATE,IDLE,3.441
2360,3451,STATE,IDLE,3.451
2369,3461,STATE,IDLE,3.461
2378,3471,STATE,IDLE,3.471
2387,3481,STATE,IDLE,3.481
2397,3491,STATE,IDLE,3.491
2407,3502,STATE,IDLE,3.502
2418,3511,STATE,IDLE,3.511
2427,3521,STATE,IDLE,3.521
2437,3531,STATE,IDLE,3.531
2446,3541,STATE,IDLE,3.541
2455,3551,STATE,IDLE,3.551
2464,3561,STATE,IDLE,3.561
2474,3571,STATE,IDLE,3.571
2483,3581,STATE,IDLE,3.581
2492,3591,STATE,IDLE,3.591
2501,3601,STATE,IDLE,3.601
2511,3611,STATE,IDLE,3.611
2520,3621,STATE,IDLE,3.621
2529,3631,STATE,IDLE,3.631
2538,3641,STATE,IDLE,3.641
2548,3651,STATE,IDLE,3.651
2557,3661,STATE,IDLE,3.661
2566,3671,STATE,IDLE,3.671
2575,3681,STATE,IDLE,3.681
2585,3691,STATE,IDLE,3.691
2594,3701,STATE,IDLE,3.701
2603,3711,STATE,IDLE,3.711
2612,3721,STATE,IDLE,3.721
2622,3731,STATE,IDLE,3.731
2631,3741,STATE,IDLE,3.741
2640,3751,STATE,IDLE,3.751
2649,3761,STATE,IDLE,3.761
2659,3771,STATE,IDLE,3.771
2668,3781,STATE,IDLE,3.781
2677,3791,STATE,IDLE,3.791
2686,3801,STATE,IDLE,3.801
2696,3811,STATE,IDLE,3.811
2705,3821,STATE,IDLE,3.821
2714,3831,STATE,IDLE,3.831
2723,3841,STATE,IDLE,3.841
2733,3851,STATE,IDLE,3.851
2742,3861,STATE,IDLE,3.861
2751,3871,STATE,IDLE,3.871
2760,3881,STATE,IDLE,3.881
2770,3891,STATE,IDLE,3.891
2779,3901,STATE,IDLE,3.901
2788,3911,STATE,IDLE,3.911
2797,3921,STATE,IDLE,3.921
2807,3931,STATE,IDLE,3.931
2816,3941,STATE,IDLE,3.941
2825,3951,STATE,IDLE,3.951
2834,3961,STATE,IDLE,3.961
2844,3971,STATE,IDLE,3.971
2853,3981,STATE,IDLE,3.981
2862,3991,STATE,IDLE,3.991
2872,4002,STATE,IDLE,4.002
2884,4011,STATE,IDLE,4.011
2893,4021,STATE,IDLE,4.021
2902,4031,STATE,IDLE,4.031
2911,4041,STATE,IDLE,4.041
2921,4051,STATE,IDLE,4.051
2931,4061,STATE,IDLE,4.061
2940,4071,STATE,IDLE,4.071
2949,4081,STATE,IDLE,4.081
2959,4091,STATE,IDLE,4.091
2968,4101,STATE,IDLE,4.101
2977,4111,STATE,IDLE,4.111
2986,4121,STATE,IDLE,4.121
2996,4131,STATE,IDLE,4.131
3005,4141,STATE,IDLE,4.141
3014,4151,STATE,IDLE,4.151
3023,4161,STATE,IDLE,4.161
3033,4171,STATE,IDLE,4.171
3042,4181,STATE,IDLE,4.181
3051,4191,STATE,IDLE,4.191
3060,4201,STATE,IDLE,4.201
3070,4211,STATE,IDLE,4.211
3079,4221,STATE,IDLE,4.221
3088,4231,STATE,IDLE,4.231
3097,4241,STATE,IDLE,4.241
3107,4251,STATE,IDLE,4.251
3116,4261,STATE,IDLE,4.261
3125,4271,STATE,IDLE,4.271
3134,4281,STATE,IDLE,4.281
3144,4291,STATE,IDLE,4.291
3153,4301,STATE,IDLE,4.301
3162,4311,STATE,IDLE,4.311
3171,4321,STATE,IDLE,4.321
3181,4331,STATE,IDLE,4.331
3190,4341,STATE,IDLE,4.341
3199,4351,STATE,IDLE,4.351
3208,4361,STATE,IDLE,4.361
3218,4371,STATE,IDLE,4.371
3227,4381,STATE,IDLE,4.381
3236,4391,STATE,IDLE,4.391
3245,4401,STATE,IDLE,4.401
3255,4411,STATE,IDLE,4.411
3264,4421,STATE,IDLE,4.421
3273,4431,STATE,IDLE,4.431
3282,4441,STATE,IDLE,4.441
3292,4451,STATE,IDLE,4.451
3301,4461,STATE,IDLE,4.461
3310,4471,STATE,IDLE,4.471
3319,4481,STATE,IDLE,4.481
3329,4491,STATE,IDLE,4.491
3339,4502,STATE,IDLE,4.502
3350,4511,STATE,IDLE,4.511
3359,4521,STATE,IDLE,4.521
3369,4531,STATE,IDLE,4.531
3378,4541,STATE,IDLE,4.541
3387,4551,STATE,IDLE,4.551
3396,4561,STATE,IDLE,4.561
3406,4571,STATE,IDLE,4.571
3415,4581,STATE,IDLE,4.581
3424,4591,STATE,IDLE,4.591
3433,4601,STATE,IDLE,4.601
3443,4611,STATE,IDLE,4.611
3452,4621,STATE,IDLE,4.621
3461,4631,STATE,IDLE,4.631
3470,4641,STATE,IDLE,4.641
3480,4651,STATE,IDLE,4.651
3489,4661,STATE,IDLE,4.661
3498,4671,STATE,IDLE,4.671
3507,4681,STATE,IDLE,4.681
