sb_data_pressure,sb_data_temp,sb_data_gyro_x,sb_data_gyro_y,sb_data_gyro_z,sb_data_acc_x,sb_data_acc_y,sb_data_acc_z,battery_battery,battery_current,battery_consumption,gps_hour,gps_minute,gps_second,gps_satellite,gps_lat_deg,gps_lat_decimal,gps_lon_deg,gps_lon_decimal,gps_fix,gps_HDOP,gps_altitude,altitude,velocity,airbrake_extension [%],flight_phase,ts,cs

85025,3106,9,-10,-16,-17,22,1056,11913,293,220,12,20,42,12,46,9047851,8,757334,2,85,156,3098,822,0,1,2409300,177

85022,3104,8,-10,-16,-16,23,1057,11913,293,220,12,20,42,12,46,9047851,8,757334,2,85,156,3085,819,0,1,2409400,96

85022,3104,8,-11,-15,-17,21,1053,11913,293,220,12,20,42,12,46,9047851,8,757334,2,85,156,3093,822,0,1,2409500,247

85025,3106,8,-11,-15,-17,22,1056,11912,337,220,12,20,44,12,46,9047850,8,757334,2,82,156,2884,781,0,1,2411300,177

85025,3106,8,-11,-14,-17,22,1055,11915,321,220,12,20,45,12,46,9047850,8,757350,2,90,156,2668,757,0,1,2412700,26

85007,3106,8,-11,-16,-15,21,1058,11915,321,220,12,20,46,12,46,9047834,8,757350,2,85,156,2580,745,0,1,2413100,16

85025,3106,9,-10,-16,-16,21,1057,11911,321,220,12,20,48,12,46,9047834,8,757351,2,90,156,2498,785,0,1,2415800,142

85025,3106,8,-10,-15,-17,22,1057,11917,307,221,12,20,55,12,46,9047833,8,757367,2,77,156,2941,907,0,1,2423000,25

85025,3106,9,-10,-16,-16,21,1055,11917,307,221,12,20,56,12,46,9047818,8,757367,2,77,156,2957,909,0,1,2423100,178

85025,3106,8,-11,-15,-17,22,1058,11913,353,221,12,20,57,12,46,9047817,8,757368,2,85,156,2992,898,0,1,2424100,121

85025,3106,9,-10,-15,-16,21,1058,11914,324,221,12,21,0,12,46,9047816,8,757383,2,85,156,2647,800,0,1,2427100,181

85044,3106,8,-10,-14,-16,22,1054,11915,343,221,12,21,2,12,46,9047801,8,757383,2,77,156,2525,796,0,1,2429300,133

85025,3106,9,-11,-15,-16,21,1056,11913,328,221,12,21,4,12,46,9047800,8,757383,2,77,156,2439,794,0,1,2431400,196

85029,3107,8,-11,-15,-15,22,1056,11913,320,222,12,21,6,12,46,9047800,8,757383,2,81,156,2413,816,0,1,2433800,89

85025,3106,8,-11,-15,-16,22,1055,11913,320,222,12,21,6,12,46,9047800,8,757383,2,81,156,2405,814,0,1,2433900,6

85025,3106,8,-11,-15,-15,21,1056,11913,320,222,12,21,6,12,46,9047800,8,757383,2,81,156,2394,812,0,1,2434000,174

85025,3106,8,-11,-15,-16,22,1057,11913,320,222,12,21,7,12,46,9047784,8,757383,2,77,156,2390,817,0,1,2434100,90

85044,3106,8,-10,-17,-18,22,1056,11913,320,222,12,21,7,12,46,9047784,8,757383,2,77,156,2396,820,0,1,2434200,222

85029,3107,8,-9,-16,-17,21,1059,11913,320,222,12,21,7,12,46,9047784,8,757383,2,77,156,2403,823,0,1,2434300,121

85025,3106,8,-11,-14,-16,22,1055,11915,338,222,12,21,7,12,46,9047784,8,757383,2,77,156,2401,823,0,1,2434900,19

85048,3107,8,-10,-16,-16,22,1056,11912,361,222,12,21,9,12,46,9047783,8,757383,2,81,156,2348,814,0,1,2436100,107

85025,3106,8,-11,-17,-16,21,1054,11912,361,222,12,21,9,12,46,9047783,8,757383,2,81,156,2338,812,0,1,2436200,48

85025,3106,8,-10,-15,-14,20,1057,11912,361,222,12,21,9,12,46,9047783,8,757383,2,81,156,2349,815,0,1,2436300,183

85025,3106,8,-11,-15,-16,22,1056,11912,361,222,12,21,9,12,46,9047783,8,757383,2,81,156,2327,810,0,1,2436400,111

85025,3106,8,-11,-16,-16,22,1057,11912,361,222,12,21,9,12,46,9047783,8,757383,2,81,156,2328,810,0,1,2436500,10

85007,3106,7,-11,-14,-16,23,1055,11912,361,222,12,21,9,12,46,9047783,8,757383,2,81,156,2327,810,0,1,2436600,185

85010,3107,8,-10,-16,-16,21,1056,11913,306,222,12,21,10,12,46,9047767,8,757383,2,77,156,2305,825,0,1,2437800,81

85025,3106,9,-11,-17,-17,21,1058,11913,306,222,12,21,10,12,46,9047767,8,757383,2,77,156,2284,820,0,1,2437900,249

85025,3106,8,-10,-14,-16,22,1058,11913,306,222,12,21,10,12,46,9047767,8,757383,2,77,156,2291,823,0,1,2438000,134

85029,3107,9,-10,-16,-17,23,1055,11913,306,222,12,21,11,12,46,9047766,8,757384,2,77,156,2251,813,0,1,2438400,36

85025,3106,8,-10,-16,-17,22,1056,11913,306,222,12,21,11,12,46,9047766,8,757384,2,77,156,2254,815,0,1,2438500,193

85025,3106,8,-10,-15,-17,23,1056,11913,306,222,12,21,11,12,46,9047766,8,757384,2,77,156,2267,818,0,1,2438600,75

85025,3106,8,-11,-17,-16,21,1057,11912,328,222,12,21,11,12,46,9047766,8,757384,2,77,156,2267,821,0,1,2439000,164

85025,3106,7,-10,-14,-18,20,1055,11912,328,222,12,21,12,12,46,9047751,8,757384,2,81,156,2246,817,0,1,2439100,101

85025,3106,9,-10,-17,-16,23,1055,11912,328,222,12,21,12,12,46,9047751,8,757384,2,81,156,2241,816,0,1,2439200,2

85025,3106,10,-10,-17,-16,22,1056,11912,328,222,12,21,12,12,46,9047751,8,757384,2,81,156,2243,817,0,1,2439300,154

85029,3107,9,-10,-15,-17,21,1056,11912,328,222,12,21,12,12,46,9047751,8,757384,2,81,156,2249,817,0,1,2439400,44

85029,3107,8,-11,-15,-17,23,1055,11912,328,222,12,21,12,12,46,9047751,8,757384,2,81,156,2303,832,0,1,2439800,86

85044,3106,9,-11,-15,-16,21,1056,11911,348,222,12,21,14,12,46,9047734,8,757384,2,77,156,2236,828,0,1,2441900,82

85025,3106,9,-11,-15,-16,22,1055,11911,348,222,12,21,14,12,46,9047734,8,757384,2,77,156,2230,826,0,1,2442000,8

85029,3107,8,-11,-15,-16,20,1059,11911,348,222,12,21,15,12,46,9047733,8,757400,2,81,156,2201,820,0,1,2442300,228

85044,3106,7,-10,-16,-18,20,1057,11911,348,222,12,21,15,12,46,9047733,8,757400,2,81,156,2217,826,0,1,2442400,97

85025,3106,8,-11,-15,-17,22,1056,11911,348,222,12,21,15,12,46,9047733,8,757400,2,81,156,2210,825,0,1,2442500,20

85025,3106,9,-11,-15,-17,21,1056,11916,322,223,12,21,18,12,46,9047634,8,757451,1,81,156,2313,868,0,1,2445700,55

85025,3106,8,-11,-15,-17,22,1055,11916,322,223,12,21,18,12,46,9047634,8,757451,1,81,156,2298,864,0,1,2445800,232

85048,3107,9,-11,-16,-17,20,1056,11914,320,223,12,21,19,12,46,9047600,8,757467,1,81,156,2367,878,0,1,2447000,221

85025,3106,8,-11,-17,-16,21,1057,11914,320,223,12,21,20,12,46,9047567,8,757467,1,77,156,2366,877,0,1,2447100,182

85029,3107,8,-11,-17,-17,21,1056,11914,320,223,12,21,20,12,46,9047567,8,757467,1,77,156,2353,868,0,1,2447600,211

