Timestamp;Log Entry Type;Data
500;1;4,4,219,0,3,65
500;1;4,4,2415,0,41,718
500;1;4,4,4610,0,79,1371
600;1;1,3,0,0,0,0,0,0,0,0,0,0
600;1;2,3,0,0,0,0,0,0,0,0,0,0
600;1;3,3,0,0,0,0,0,0,0,0,0,0
600;1;1,3,0,0,0,0,0,0,0,0,0,0
600;1;2,3,0,0,0,0,0,0,0,0,0,0
600;1;3,3,0,0,0,0,0,0,0,0,0,0
600;1;4,4,6806,0,115,2024
810;1;1,1,0,0,0
810;1;1,2,0,0,0,0,0,0,0
810;1;1,2,0,0,0,0,0,0,0
810;1;2,1,0,0,0
810;1;2,2,0,0,0,0,0,0,0
810;1;2,2,0,0,0,0,0,0,0
810;1;3,1,0,0,0
810;1;3,2,0,0,0,0,0,0,0
810;1;3,2,0,0,0,0,0,0,0
800;1;4,4,9003,0,149,2675
820;1;1,1,99643,2644,863
820;1;1,2,0,0,0,0,0,0,0
820;1;1,2,0,0,0,0,0,0,0
820;1;2,1,99665,2504,863
820;1;2,2,0,0,0,0,0,0,0
820;1;2,2,0,0,0,0,0,0,0
820;1;3,1,99695,2480,873
820;1;3,2,0,0,0,0,0,0,0
820;1;3,2,0,0,0,0,0,0,0
830;1;1,1,99665,2644,873
830;1;1,2,0,0,0,0,0,0,0
830;1;1,2,0,0,0,0,0,0,0
830;1;2,1,99669,2506,873
830;1;2,2,0,0,0,0,0,0,0
830;1;2,2,0,0,0,0,0,0,0
830;1;3,1,99673,2480,883
830;1;3,2,0,0,0,0,0,0,0
830;1;3,2,0,0,0,0,0,0,0
840;1;1,1,99643,2644,883
840;1;1,2,0,0,0,0,0,0,0
840;1;1,2,0,0,0,0,0,0,0
840;1;2,1,99649,2506,883
840;1;2,2,0,0,0,0,0,0,0
840;1;2,2,0,0,0,0,0,0,0
840;1;3,1,99673,2480,893
840;1;3,2,0,0,0,0,0,0,0
840;1;3,2,0,0,0,0,0,0,0
850;1;1,1,99643,2644,893
850;1;1,2,0,0,0,0,0,0,0
850;1;1,2,0,0,0,0,0,0,0
850;1;2,1,99665,2504,893
850;1;2,2,0,0,0,0,0,0,0
850;1;2,2,0,0,0,0,0,0,0
850;1;3,1,99673,2480,903
850;1;3,2,0,0,0,0,0,0,0
850;1;3,2,0,0,0,0,0,0,0
860;1;1,1,99643,2644,903
860;1;1,2,0,0,0,0,0,0,0
860;1;1,2,0,0,0,0,0,0,0
860;1;2,1,99665,2504,903
860;1;2,2,0,0,0,0,0,0,0
860;1;2,2,0,0,0,0,0,0,0
860;1;3,1,99673,2480,913
860;1;3,2,0,0,0,0,0,0,0
860;1;3,2,0,0,0,0,0,0,0
870;1;1,1,99643,2644,913
870;1;1,2,0,0,0,0,0,0,0
870;1;1,2,0,0,0,0,0,0,0
870;1;2,1,99645,2504,913
870;1;2,2,0,0,0,0,0,0,0
870;1;2,2,0,0,0,0,0,0,0
870;1;3,1,99695,2480,923
870;1;3,2,0,0,0,0,0,0,0
870;1;3,2,0,0,0,0,0,0,0
880;1;1,1,99643,2644,923
880;1;1,2,0,0,0,0,0,0,0
880;1;1,2,0,0,0,0,0,0,0
880;1;2,1,99665,2504,923
880;1;2,2,0,0,0,0,0,0,0
880;1;2,2,0,0,0,0,0,0,0
880;1;3,1,99673,2480,933
880;1;3,2,0,0,0,0,0,0,0
880;1;3,2,0,0,0,0,0,0,0
890;1;1,1,99665,2644,933
890;1;1,2,0,0,0,0,0,0,0
890;1;1,2,0,0,0,0,0,0,0
890;1;2,1,99665,2504,933
890;1;2,2,0,0,0,0,0,0,0
890;1;2,2,0,0,0,0,0,0,0
890;1;3,1,99676,2481,943
890;1;3,2,0,0,0,0,0,0,0
890;1;3,2,0,0,0,0,0,0,0
900;1;1,1,99643,2644,943
900;1;1,2,0,0,0,0,0,0,0
900;1;1,2,0,0,0,0,0,0,0
900;1;2,1,99645,2504,943
900;1;2,2,0,0,0,0,0,0,0
900;1;2,2,0,0,0,0,0,0,0
900;1;3,1,99676,2481,953
900;1;3,2,0,0,0,0,0,0,0
900;1;3,2,0,0,0,0,0,0,0
910;1;1,1,99643,2644,953
910;1;1,2,0,0,0,0,0,0,0
910;1;1,2,0,0,0,0,0,0,0
910;1;2,1,99645,2504,953
910;1;2,2,0,0,0,0,0,0,0
910;1;2,2,0,0,0,0,0,0,0
910;1;3,1,99698,2481,963
910;1;3,2,0,0,0,0,0,0,0
910;1;3,2,0,0,0,0,0,0,0
900;3;0,0,0
920;1;1,1,99643,2644,963
920;1;1,2,0,0,0,0,0,0,0
920;1;1,2,0,0,0,0,0,0,0
920;1;2,1,99645,2504,963
920;1;2,2,0,0,0,0,0,0,0
920;1;2,2,0,0,0,0,0,0,0
920;1;3,1,99695,2480,973
920;1;3,2,0,0,0,0,0,0,0
920;1;3,2,0,0,0,0,0,0,0
910;3;0,0,0
930;1;1,1,99643,2644,973
930;1;1,2,0,0,0,0,0,0,0
930;1;1,2,0,0,0,0,0,0,0
930;1;2,1,99645,2504,973
930;1;2,2,0,0,0,0,0,0,0
930;1;2,2,0,0,0,0,0,0,0
930;1;3,1,99698,2481,983
930;1;3,2,0,0,0,0,0,0,0
930;1;3,2,0,0,0,0,0,0,0
920;3;0,0,0
940;1;1,1,99643,2644,983
940;1;1,2,0,0,0,0,0,0,0
940;1;1,2,0,0,0,0,0,0,0
940;1;2,1,99665,2504,983
940;1;2,2,0,0,0,0,0,0,0
940;1;2,2,0,0,0,0,0,0,0
940;1;3,1,99676,2481,993
940;1;3,2,0,0,0,0,0,0,0
940;1;3,2,0,0,0,0,0,0,0
930;3;0,1,0
950;1;1,1,99643,2644,993
950;1;1,2,0,0,0,0,0,0,0
950;1;1,2,0,0,0,0,0,0,0
950;1;2,1,99649,2506,993
950;1;2,2,0,0,0,0,0,0,0
950;1;2,2,0,0,0,0,0,0,0
950;1;3,1,99695,2480,1003
950;1;3,2,0,0,0,0,0,0,0
950;1;3,2,0,0,0,0,0,0,0
940;3;0,3,0
960;1;1,1,99643,2644,1003
960;1;1,2,0,0,0,0,0,0,0
960;1;1,2,0,0,0,0,0,0,0
960;1;2,1,99645,2504,1003
960;1;2,2,0,0,0,0,0,0,0
960;1;2,2,0,0,0,0,0,0,0
960;1;3,1,99695,2480,1013
960;1;3,2,0,0,0,0,0,0,0
960;1;3,2,0,0,0,0,0,0,0
950;3;0,5,0
970;1;1,1,99643,2644,1013
