Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Type,Battery,Consumption,Current,Supply
0,500,0.5,SENSOR,4,BATTERY,213,0,2,65
1,500,0.5,SENSOR,4,BATTERY,2343,0,30,721
2,500,0.5,SENSOR,4,BATTERY,4468,0,57,1377
9,600,0.6,SENSOR,4,BATTERY,6595,0,85,2032
19,800,0.8,SENSOR,4,BATTERY,8724,0,114,2686
234,1020,1.02,SENSOR,4,BATTERY,10634,0,146,3271
435,1220,1.22,SENSOR,4,BATTERY,10631,0,157,3267
636,1420,1.42,SENSOR,4,BATTERY,10631,0,163,3263
840,1620,1.62,SENSOR,4,BATTERY,10630,0,168,3260
1041,1820,1.82,SENSOR,4,BATTERY,10622,0,175,3258
1265,2040,2.04,SENSOR,4,BATTERY,10624,0,177,3257
1466,2240,2.24,SENSOR,4,BATTERY,10621,0,177,3257
1667,2440,2.44,SENSOR,4,BATTERY,10622,0,181,3257
1871,2640,2.64,SENSOR,4,BATTERY,10619,0,183,3257
2072,2840,2.84,SENSOR,4,BATTERY,10621,0,186,3256
2297,3060,3.06,SENSOR,4,BATTERY,10622,0,185,3257
2503,3260,3.26,SENSOR,4,BATTERY,10623,0,180,3257
2709,3460,3.46,SENSOR,4,BATTERY,10617,0,180,3256
2894,3860,3.86,SENSOR,4,BATTERY,10619,0,183,3251
3123,4080,4.08,SENSOR,4,BATTERY,10620,0,185,3249
3348,4480,4.48,SENSOR,4,BATTERY,10617,0,193,3247
3557,4680,4.68,SENSOR,4,BATTERY,10618,1,192,3251
3763,4880,4.88,SENSOR,4,BATTERY,10617,1,196,3253
3993,5100,5.1,SENSOR,4,BATTERY,10618,1,196,3254
4199,5300,5.3,SENSOR,4,BATTERY,10621,1,194,3255
4408,5500,5.5,SENSOR,4,BATTERY,10622,1,191,3258
4614,5700,5.7,SENSOR,4,BATTERY,10623,1,187,3257
4820,5900,5.9,SENSOR,4,BATTERY,10622,1,184,3256
5049,6120,6.12,SENSOR,4,BATTERY,10617,1,184,3257
5255,6320,6.32,SENSOR,4,BATTERY,10616,1,180,3258
5464,6520,6.52,SENSOR,4,BATTERY,10616,1,178,3257
5670,6720,6.72,SENSOR,4,BATTERY,10617,1,180,3257
5876,6920,6.92,SENSOR,4,BATTERY,10619,1,183,3258
6106,7140,7.14,SENSOR,4,BATTERY,10621,1,185,3258
6312,7340,7.34,SENSOR,4,BATTERY,10619,1,188,3258
6521,7540,7.54,SENSOR,4,BATTERY,10620,1,186,3259
6727,7740,7.74,SENSOR,4,BATTERY,10622,1,182,3260
6933,7940,7.94,SENSOR,4,BATTERY,10618,1,175,3260
7162,8160,8.16,SENSOR,4,BATTERY,10617,1,181,3260
7368,8360,8.36,SENSOR,4,BATTERY,10618,1,179,3260
7577,8560,8.56,SENSOR,4,BATTERY,10618,2,181,3259
7783,8760,8.76,SENSOR,4,BATTERY,10615,2,181,3260
7989,8960,8.96,SENSOR,4,BATTERY,10615,2,186,3260
8219,9180,9.18,SENSOR,4,BATTERY,10617,2,174,3259
8425,9380,9.38,SENSOR,4,BATTERY,10621,2,178,3259
8634,9580,9.58,SENSOR,4,BATTERY,10622,2,185,3260
8840,9780,9.78,SENSOR,4,BATTERY,10621,2,185,3260
9046,9980,9.98,SENSOR,4,BATTERY,10621,2,184,3260
9296,10200,10.2,SENSOR,4,BATTERY,10622,2,190,3260
9522,10400,10.4,SENSOR,4,BATTERY,10619,2,186,3260
9751,10600,10.6,SENSOR,4,BATTERY,10617,2,179,3260
9977,10800,10.8,SENSOR,4,BATTERY,10615,2,187,3259
10206,11000,11.0,SENSOR,4,BATTERY,10620,2,183,3259
10455,11220,11.22,SENSOR,4,BATTERY,10619,2,189,3259
10681,11420,11.42,SENSOR,4,BATTERY,10617,2,184,3259
10910,11620,11.62,SENSOR,4,BATTERY,10617,2,183,3259
11136,11820,11.82,SENSOR,4,BATTERY,10619,2,184,3260
11365,12020,12.02,SENSOR,4,BATTERY,10614,2,188,3260
11613,12240,12.24,SENSOR,4,BATTERY,10614,2,180,3261
11839,12440,12.44,SENSOR,4,BATTERY,10613,2,185,3261
12068,12640,12.64,SENSOR,4,BATTERY,10615,3,189,3260
12294,12840,12.84,SENSOR,4,BATTERY,10617,3,181,3260
12523,13040,13.04,SENSOR,4,BATTERY,10620,3,182,3260
12772,13260,13.26,SENSOR,4,BATTERY,10617,3,183,3258
12998,13460,13.46,SENSOR,4,BATTERY,10620,3,188,3258
13227,13660,13.66,SENSOR,4,BATTERY,10620,3,189,3258
13453,13860,13.86,SENSOR,4,BATTERY,10617,3,196,3258
