Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Type,Hour,Minute,Second,Latitude [deg],Latitude [decimal],Longitude [deg],Longitude [decimal],Satellite,Altitude,HDOP
3,600,0.6,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
4,600,0.6,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
5,600,0.6,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
6,600,0.6,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
7,600,0.6,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
8,600,0.6,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
210,1000,1.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
211,1000,1.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
212,1000,1.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
716,1500,1.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
717,1500,1.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
718,1500,1.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
998,2000,2.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
999,2000,2.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
1000,2000,2.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
2180,3500,3.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
2181,3500,3.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
2182,3500,3.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
2564,4000,4.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
2565,4000,4.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
2566,4000,4.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
2944,4500,4.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
2945,4500,4.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
2946,4500,4.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
3280,5000,5.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
3281,5000,5.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
3282,5000,5.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
4184,6000,6.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
4185,6000,6.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
4186,6000,6.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
4572,6500,6.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
4573,6500,6.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
4574,6500,6.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
5090,7000,7.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
5091,7000,7.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
5092,7000,7.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
5608,7500,7.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
5609,7500,7.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
5610,7500,7.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
5937,8000,8.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
5938,8000,8.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
5939,8000,8.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
6273,8500,8.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
6274,8500,8.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
6275,8500,8.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
6791,9000,9.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
6792,9000,9.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
6793,9000,9.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
7309,9500,9.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
7310,9500,9.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
7311,9500,9.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
7827,10000,10.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
7828,10000,10.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
7829,10000,10.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
