Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
11,810,0.81,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
12,810,0.81,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
14,810,0.81,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
15,810,0.81,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
17,810,0.81,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
18,810,0.81,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
21,820,0.82,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
22,820,0.82,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
24,820,0.82,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
25,820,0.82,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
27,820,0.82,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
28,820,0.82,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
30,830,0.83,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
31,830,0.83,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
33,830,0.83,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
34,830,0.83,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
36,830,0.83,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
37,830,0.83,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
39,840,0.84,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
40,840,0.84,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
