Log Entry,Timestamp,Log Entry Type,Data,Time_s
1748,3080,MOTOR,"0,0",3.08
1789,3120,MOTOR,"0,0",3.12
1830,3160,MOTOR,"0,0",3.16
1871,3200,MOTOR,"0,0",3.2
1912,3240,MOTOR,"0,0",3.24
1954,3280,MOTOR,"0,0",3.28
1995,3320,MOTOR,"0,0",3.32
2036,3360,MOTOR,"0,0",3.36
2077,3400,MOTOR,"0,0",3.4
2118,3440,MOTOR,"0,0",3.44
2160,3480,MOTOR,"0,0",3.48
2204,3520,MOTOR,"0,0",3.52
2236,3680,MOTOR,"0,0",3.68
2277,3720,MOTOR,"0,0",3.72
2318,3760,MOTOR,"0,0",3.76
2359,3800,MOTOR,"0,0",3.8
2400,3840,MOTOR,"0,0",3.84
2442,3880,MOTOR,"0,0",3.88
2483,3920,MOTOR,"0,0",3.92
2524,3960,MOTOR,"0,0",3.96
2568,4000,MOTOR,"0,0",4.0
2609,4040,MOTOR,"0,0",4.04
2651,4080,MOTOR,"0,0",4.08
2692,4120,MOTOR,"0,0",4.12
2759,4320,MOTOR,"0,0",4.32
2800,4360,MOTOR,"0,0",4.36
2841,4402,MOTOR,"0,0",4.402
2882,4440,MOTOR,"0,0",4.44
2924,4480,MOTOR,"0,0",4.48
2968,4520,MOTOR,"0,0",4.52
3009,4560,MOTOR,"0,0",4.56
3050,4600,MOTOR,"0,0",4.6
3091,4640,MOTOR,"0,0",4.64
3133,4680,MOTOR,"0,0",4.68
3174,4720,MOTOR,"0,0",4.72
3215,4760,MOTOR,"0,0",4.76
3284,5000,MOTOR,"0,0",5.0
3325,5040,MOTOR,"0,0",5.04
3366,5080,MOTOR,"0,0",5.08
3408,5120,MOTOR,"0,0",5.12
3449,5160,MOTOR,"0,0",5.16
3490,5200,MOTOR,"0,0",5.2
3531,5240,MOTOR,"0,0",5.24
3572,5280,MOTOR,"0,0",5.28
3614,5320,MOTOR,"0,0",5.32
3655,5360,MOTOR,"0,0",5.36
3696,5400,MOTOR,"0,0",5.4
3737,5440,MOTOR,"0,0",5.44
3773,5600,MOTOR,"0,0",5.6
3814,5640,MOTOR,"0,0",5.64
3855,5680,MOTOR,"0,0",5.68
3897,5720,MOTOR,"0,0",5.72
3938,5760,MOTOR,"0,0",5.76
3979,5800,MOTOR,"0,0",5.8
4020,5840,MOTOR,"0,0",5.84
4061,5880,MOTOR,"0,0",5.88
4103,5920,MOTOR,"0,0",5.92
4144,5960,MOTOR,"0,0",5.96
4188,6000,MOTOR,"0,0",6.0
4229,6040,MOTOR,"0,0",6.04
4305,6240,MOTOR,"0,0",6.24
4346,6280,MOTOR,"0,0",6.28
4388,6320,MOTOR,"0,0",6.32
4429,6361,MOTOR,"0,0",6.361
4470,6400,MOTOR,"0,0",6.4
4511,6440,MOTOR,"0,0",6.44
4552,6480,MOTOR,"0,0",6.48
4597,6520,MOTOR,"0,0",6.52
4638,6560,MOTOR,"0,0",6.56
4679,6600,MOTOR,"0,0",6.6
4720,6640,MOTOR,"0,0",6.64
4761,6680,MOTOR,"0,0",6.68
4803,6720,MOTOR,"0,0",6.72
4844,6760,MOTOR,"0,0",6.76
4885,6800,MOTOR,"0,0",6.8
4926,6840,MOTOR,"0,0",6.84
4967,6880,MOTOR,"0,0",6.88
5009,6920,MOTOR,"0,0",6.92
5050,6960,MOTOR,"0,0",6.96
5094,7000,MOTOR,"0,0",7.0
5135,7040,MOTOR,"0,0",7.04
5176,7080,MOTOR,"0,0",7.08
5217,7120,MOTOR,"0,0",7.12
5259,7160,MOTOR,"0,0",7.16
5300,7200,MOTOR,"0,0",7.2
5341,7240,MOTOR,"0,0",7.24
5382,7280,MOTOR,"0,0",7.28
5423,7320,MOTOR,"0,0",7.32
5465,7360,MOTOR,"0,0",7.36
5506,7400,MOTOR,"0,0",7.4
5547,7440,MOTOR,"0,0",7.44
5588,7480,MOTOR,"0,0",7.48
5632,7520,MOTOR,"0,0",7.52
5674,7560,MOTOR,"0,0",7.56
5732,7801,MOTOR,"0,0",7.801
5773,7840,MOTOR,"0,0",7.84
5814,7880,MOTOR,"0,0",7.88
5855,7920,MOTOR,"0,0",7.92
5897,7960,MOTOR,"0,0",7.96
5941,8000,MOTOR,"0,0",8.0
5982,8040,MOTOR,"0,0",8.04
6023,8080,MOTOR,"0,0",8.08
6064,8120,MOTOR,"0,0",8.12
6106,8160,MOTOR,"0,0",8.16
6147,8200,MOTOR,"0,0",8.2
6188,8240,MOTOR,"0,0",8.24
6253,8480,MOTOR,"0,0",8.48
6297,8523,MOTOR,"0,0",8.523
