Log Entry,Timestamp,Log Entry Type,State,Time_s
7830,10000,STATE,IDLE,10.0
7842,10010,STATE,IDLE,10.01
7853,10020,STATE,IDLE,10.02
7864,10030,STATE,IDLE,10.03
7875,10040,STATE,IDLE,10.04
7887,10050,STATE,IDLE,10.05
7898,10060,STATE,IDLE,10.06
7909,10070,STATE,IDLE,10.07
7920,10080,STATE,IDLE,10.08
7932,10090,STATE,IDLE,10.09
7943,10100,STATE,IDLE,10.1
7954,10110,STATE,IDLE,10.11
7965,10120,STATE,IDLE,10.12
7977,10130,STATE,IDLE,10.13
7988,10140,STATE,IDLE,10.14
7999,10150,STATE,IDLE,10.15
8010,10160,STATE,IDLE,10.16
8022,10170,STATE,IDLE,10.17
8033,10180,STATE,IDLE,10.18
8044,10190,STATE,IDLE,10.19
8055,10200,STATE,IDLE,10.2
8068,10210,STATE,IDLE,10.21
8079,10220,STATE,IDLE,10.22
8090,10230,STATE,IDLE,10.23
8101,10240,STATE,IDLE,10.24
8113,10250,STATE,IDLE,10.25
8124,10260,STATE,IDLE,10.26
8135,10270,STATE,IDLE,10.27
8146,10280,STATE,IDLE,10.28
8158,10290,STATE,IDLE,10.29
8169,10300,STATE,IDLE,10.3
8180,10310,STATE,IDLE,10.31
8191,10320,STATE,IDLE,10.32
8203,10330,STATE,IDLE,10.33
8214,10340,STATE,IDLE,10.34
8225,10350,STATE,IDLE,10.35
8236,10360,STATE,IDLE,10.36
8248,10370,STATE,IDLE,10.37
8259,10380,STATE,IDLE,10.38
8270,10390,STATE,IDLE,10.39
8281,10400,STATE,IDLE,10.4
8294,10410,STATE,IDLE,10.41
8305,10420,STATE,IDLE,10.42
8316,10430,STATE,IDLE,10.43
8327,10440,STATE,IDLE,10.44
8339,10450,STATE,IDLE,10.45
8350,10460,STATE,IDLE,10.46
8361,10470,STATE,IDLE,10.47
8372,10480,STATE,IDLE,10.48
8384,10490,STATE,IDLE,10.49
8398,10500,STATE,IDLE,10.5
8409,10510,STATE,IDLE,10.51
8420,10520,STATE,IDLE,10.52
8432,10530,STATE,IDLE,10.53
8443,10540,STATE,IDLE,10.54
8454,10550,STATE,IDLE,10.55
8465,10560,STATE,IDLE,10.56
8477,10570,STATE,IDLE,10.57
8488,10580,STATE,IDLE,10.58
8499,10590,STATE,IDLE,10.59
8510,10600,STATE,IDLE,10.6
8523,10610,STATE,IDLE,10.61
8534,10620,STATE,IDLE,10.62
8545,10630,STATE,IDLE,10.63
8556,10640,STATE,IDLE,10.64
8568,10650,STATE,IDLE,10.65
8579,10660,STATE,IDLE,10.66
8590,10670,STATE,IDLE,10.67
8601,10680,STATE,IDLE,10.68
8613,10690,STATE,IDLE,10.69
8624,10700,STATE,IDLE,10.7
8635,10710,STATE,IDLE,10.71
8646,10720,STATE,IDLE,10.72
8658,10730,STATE,IDLE,10.73
8669,10740,STATE,IDLE,10.74
8680,10750,STATE,IDLE,10.75
8691,10760,STATE,IDLE,10.76
8703,10770,STATE,IDLE,10.77
8714,10780,STATE,IDLE,10.78
8725,10790,STATE,IDLE,10.79
8736,10800,STATE,IDLE,10.8
8749,10810,STATE,IDLE,10.81
8760,10820,STATE,IDLE,10.82
8771,10830,STATE,IDLE,10.83
8782,10840,STATE,IDLE,10.84
8794,10850,STATE,IDLE,10.85
8805,10860,STATE,IDLE,10.86
8816,10870,STATE,IDLE,10.87
8827,10880,STATE,IDLE,10.88
8839,10890,STATE,IDLE,10.89
8850,10900,STATE,IDLE,10.9
8861,10910,STATE,IDLE,10.91
8872,10920,STATE,IDLE,10.92
8884,10930,STATE,IDLE,10.93
8895,10940,STATE,IDLE,10.94
8906,10950,STATE,IDLE,10.95
8917,10960,STATE,IDLE,10.96
8929,10970,STATE,IDLE,10.97
8940,10980,STATE,IDLE,10.98
8951,10990,STATE,IDLE,10.99
8965,11000,STATE,IDLE,11.0
8978,11010,STATE,IDLE,11.01
8989,11020,STATE,IDLE,11.02
9000,11030,STATE,IDLE,11.03
9011,11040,STATE,IDLE,11.04
9023,11050,STATE,IDLE,11.05
9034,11060,STATE,IDLE,11.06
9045,11070,STATE,IDLE,11.07
9056,11080,STATE,IDLE,11.08
9068,11090,STATE,IDLE,11.09
9079,11100,STATE,IDLE,11.1
9090,11110,STATE,IDLE,11.11
9101,11120,STATE,IDLE,11.12
9113,11130,STATE,IDLE,11.13
9124,11140,STATE,IDLE,11.14
9135,11150,STATE,IDLE,11.15
9146,11160,STATE,IDLE,11.16
9158,11170,STATE,IDLE,11.17
9169,11180,STATE,IDLE,11.18
9180,11190,STATE,IDLE,11.19
9191,11200,STATE,IDLE,11.2
9203,11210,STATE,IDLE,11.21
9214,11220,STATE,IDLE,11.22
9226,11230,STATE,IDLE,11.23
9237,11240,STATE,IDLE,11.24
9249,11250,STATE,IDLE,11.25
9260,11260,STATE,IDLE,11.26
9271,11270,STATE,IDLE,11.27
9282,11280,STATE,IDLE,11.28
9294,11290,STATE,IDLE,11.29
9305,11300,STATE,IDLE,11.3
9316,11310,STATE,IDLE,11.31
9327,11320,STATE,IDLE,11.32
9339,11330,STATE,IDLE,11.33
9350,11340,STATE,IDLE,11.34
9361,11350,STATE,IDLE,11.35
9372,11360,STATE,IDLE,11.36
9384,11370,STATE,IDLE,11.37
9395,11380,STATE,IDLE,11.38
