Timestamp;Log Entry Type;Data
12;1;3,1,0,0,0
12;1;3,2,0,0,0,0,0,0,0
1001;4;Controlling something...
1001;3;20202020
22;1;3,1,-3232,28820,67703
22;1;3,2,40328,25987,641234,32957,63086,19415,67654
32;1;3,1,-3232,28820,67703
32;1;3,2,40336,25963,641204,154,62945,19421,67694
42;1;3,1,-3232,28820,67703
42;1;3,2,40336,25963,641204,154,62945,19421,67694
52;1;3,1,-3232,28820,67803
52;1;3,2,40336,25963,641204,154,62945,19421,67694
62;1;3,1,-3232,28820,67803
62;1;3,2,40336,25963,641204,154,62945,19421,67694
72;1;3,1,-3232,28820,67803
72;1;3,2,40333,25973,641264,275,62982,19320,67734
82;1;3,1,-3232,28820,67803
82;1;3,2,40333,25973,641264,275,62982,19320,67734
92;1;3,1,-3232,28820,67803
92;1;3,2,40333,25973,641264,275,62982,19320,67734
102;1;3,1,-3232,28820,67803
102;1;3,2,40333,25973,641264,275,62982,19320,67734
112;1;3,1,-3232,28820,67803
112;1;3,2,40318,25973,641231,16458,62974,19235,67774
122;1;3,1,-3232,28820,67803
122;1;3,2,40318,25973,641231,16458,62974,19235,67774
132;1;3,1,-3232,28820,67803
132;1;3,2,40318,25973,641231,16458,62974,19235,67774
142;1;3,1,-3232,28820,67803
142;1;3,2,40318,25973,641231,16458,62974,19235,67774
152;1;3,1,-3232,28820,67903
152;1;3,2,40322,25956,641214,451,63061,19280,67814
162;1;3,1,-3232,28820,67903
162;1;3,2,40322,25956,641214,451,63061,19280,67814
172;1;3,1,-3232,28820,67903
172;1;3,2,40322,25956,641214,451,63061,19280,67814
182;1;3,1,-3232,28820,67903
182;1;3,2,40322,25956,641214,451,63061,19280,67814
192;1;3,1,-3232,28820,67903
192;1;3,2,40311,25961,641312,262,62857,19327,67854
202;1;3,1,-3232,28820,67903
202;1;3,2,40311,25961,641312,262,62857,19327,67854
212;1;3,1,-3232,28820,67903
212;1;3,2,40311,25961,641312,262,62857,19327,67854
222;1;3,1,-3232,28820,67903
222;1;3,2,40311,25961,641312,262,62857,19327,67854
232;1;3,1,-3232,28820,67903
232;1;3,2,40335,25969,641426,16544,63117,19351,67894
242;1;3,1,-3232,28820,67903
242;1;3,2,40335,25969,641426,16544,63117,19351,67894
252;1;3,1,-3232,28820,68003
252;1;3,2,40335,25969,641426,16544,63117,19351,67894
262;1;3,1,-3232,28820,68003
262;1;3,2,40335,25969,641426,16544,63117,19351,67894
272;1;3,1,-3232,28820,68003
272;1;3,2,40349,25968,641453,306,62863,19328,67934
282;1;3,1,-3232,28820,68003
282;1;3,2,40349,25968,641453,306,62863,19328,67934
