Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Pressure,Temperature
3,11,0.011,SENSOR,1,0,BARO,0,0.0
5,11,0.011,SENSOR,2,0,BARO,0,0.0
7,11,0.011,SENSOR,3,0,BARO,0,0.0
11,21,0.021,SENSOR,1,29203,BARO,95574,33.64
13,21,0.021,SENSOR,2,29113,BARO,95551,32.91
16,21,0.021,SENSOR,3,0,BARO,0,0.0
20,31,0.031,SENSOR,1,29213,BARO,95555,33.64
22,31,0.031,SENSOR,2,29123,BARO,95551,32.91
25,31,0.031,SENSOR,3,0,BARO,0,0.0
29,41,0.041,SENSOR,1,29223,BARO,95574,33.64
31,41,0.041,SENSOR,2,29133,BARO,95531,32.91
34,41,0.041,SENSOR,3,0,BARO,0,0.0
38,51,0.051,SENSOR,1,29233,BARO,95555,33.64
40,51,0.051,SENSOR,2,29143,BARO,95551,32.91
43,51,0.051,SENSOR,3,0,BARO,0,0.0
47,61,0.061,SENSOR,1,29243,BARO,95574,33.64
49,61,0.061,SENSOR,2,29153,BARO,95551,32.91
51,61,0.061,SENSOR,3,0,BARO,0,0.0
56,71,0.071,SENSOR,1,29253,BARO,95555,33.64
58,71,0.071,SENSOR,2,29163,BARO,95551,32.91
60,71,0.071,SENSOR,3,0,BARO,0,0.0
65,81,0.081,SENSOR,1,29263,BARO,95574,33.64
67,81,0.081,SENSOR,2,29173,BARO,95551,32.91
69,81,0.081,SENSOR,3,0,BARO,0,0.0
74,91,0.091,SENSOR,1,29273,BARO,95555,33.64
76,91,0.091,SENSOR,2,29183,BARO,95551,32.91
78,91,0.091,SENSOR,3,0,BARO,0,0.0
83,101,0.101,SENSOR,1,29283,BARO,95574,33.64
85,101,0.101,SENSOR,2,29193,BARO,95551,32.91
87,101,0.101,SENSOR,3,0,BARO,0,0.0
92,111,0.111,SENSOR,1,29293,BARO,95555,33.64
94,111,0.111,SENSOR,2,29203,BARO,95531,32.91
96,111,0.111,SENSOR,3,0,BARO,0,0.0
101,121,0.121,SENSOR,1,29303,BARO,95559,33.66
103,121,0.121,SENSOR,2,29213,BARO,95551,32.91
105,121,0.121,SENSOR,3,0,BARO,0,0.0
110,131,0.131,SENSOR,1,29313,BARO,95559,33.66
112,131,0.131,SENSOR,2,29223,BARO,95531,32.91
114,131,0.131,SENSOR,3,0,BARO,0,0.0
119,141,0.141,SENSOR,1,29323,BARO,95574,33.64
121,141,0.141,SENSOR,2,29233,BARO,95551,32.91
123,141,0.141,SENSOR,3,0,BARO,0,0.0
128,151,0.151,SENSOR,1,29333,BARO,95574,33.64
130,151,0.151,SENSOR,2,29243,BARO,95551,32.91
132,151,0.151,SENSOR,3,0,BARO,0,0.0
137,161,0.161,SENSOR,1,29343,BARO,95555,33.64
139,161,0.161,SENSOR,2,29253,BARO,95551,32.91
141,161,0.161,SENSOR,3,0,BARO,0,0.0
146,171,0.171,SENSOR,1,29353,BARO,95555,33.64
148,171,0.171,SENSOR,2,29263,BARO,95567,32.9
150,171,0.171,SENSOR,3,0,BARO,0,0.0
155,181,0.181,SENSOR,1,29363,BARO,95555,33.64
157,181,0.181,SENSOR,2,29273,BARO,95531,32.91
159,181,0.181,SENSOR,3,0,BARO,0,0.0
164,191,0.191,SENSOR,1,29373,BARO,95559,33.66
166,191,0.191,SENSOR,2,29283,BARO,95531,32.91
168,191,0.191,SENSOR,3,0,BARO,0,0.0
173,201,0.201,SENSOR,1,29383,BARO,95574,33.64
175,201,0.201,SENSOR,2,29293,BARO,95551,32.91
177,201,0.201,SENSOR,3,0,BARO,0,0.0
182,211,0.211,SENSOR,1,29393,BARO,95555,33.64
184,211,0.211,SENSOR,2,29303,BARO,95570,32.91
186,211,0.211,SENSOR,3,0,BARO,0,0.0
191,221,0.221,SENSOR,1,29403,BARO,95555,33.64
193,221,0.221,SENSOR,2,29313,BARO,95551,32.91
195,221,0.221,SENSOR,3,0,BARO,0,0.0
200,231,0.231,SENSOR,1,29413,BARO,95555,33.64
202,231,0.231,SENSOR,2,29323,BARO,95551,32.91
204,231,0.231,SENSOR,3,0,BARO,0,0.0
209,241,0.241,SENSOR,1,29423,BARO,95555,33.64
211,241,0.241,SENSOR,2,29333,BARO,95567,32.9
213,241,0.241,SENSOR,3,0,BARO,0,0.0
218,251,0.251,SENSOR,1,29433,BARO,95555,33.64
220,251,0.251,SENSOR,2,29343,BARO,95570,32.91
222,251,0.251,SENSOR,3,0,BARO,0,0.0
227,261,0.261,SENSOR,1,29443,BARO,95555,33.64
229,261,0.261,SENSOR,2,29353,BARO,95531,32.91
231,261,0.261,SENSOR,3,0,BARO,0,0.0
236,271,0.271,SENSOR,1,29453,BARO,95574,33.64
238,271,0.271,SENSOR,2,29363,BARO,95531,32.91
240,271,0.271,SENSOR,3,0,BARO,0,0.0
245,281,0.281,SENSOR,1,29463,BARO,95536,33.64
247,281,0.281,SENSOR,2,29373,BARO,95551,32.91
249,281,0.281,SENSOR,3,0,BARO,0,0.0
254,291,0.291,SENSOR,1,29473,BARO,95536,33.64
256,291,0.291,SENSOR,2,29383,BARO,95551,32.91
258,291,0.291,SENSOR,3,0,BARO,0,0.0
263,301,0.301,SENSOR,1,29483,BARO,95555,33.64
265,301,0.301,SENSOR,2,29393,BARO,95531,32.91
267,301,0.301,SENSOR,3,0,BARO,0,0.0
272,311,0.311,SENSOR,1,29493,BARO,95559,33.66
274,311,0.311,SENSOR,2,29403,BARO,95551,32.91
276,311,0.311,SENSOR,3,0,BARO,0,0.0
281,321,0.321,SENSOR,1,29503,BARO,95555,33.64
283,321,0.321,SENSOR,2,29413,BARO,95531,32.91
285,321,0.321,SENSOR,3,0,BARO,0,0.0
290,331,0.331,SENSOR,1,29513,BARO,95574,33.64
292,331,0.331,SENSOR,2,29423,BARO,95551,32.91
294,331,0.331,SENSOR,3,0,BARO,0,0.0
299,341,0.341,SENSOR,1,29523,BARO,95555,33.64
301,341,0.341,SENSOR,2,29433,BARO,95551,32.91
303,341,0.341,SENSOR,3,0,BARO,0,0.0
308,351,0.351,SENSOR,1,29533,BARO,95559,33.66
310,351,0.351,SENSOR,2,29443,BARO,95551,32.91
312,351,0.351,SENSOR,3,0,BARO,0,0.0
317,361,0.361,SENSOR,1,29543,BARO,95577,33.66
319,361,0.361,SENSOR,2,29453,BARO,95551,32.91
321,361,0.361,SENSOR,3,0,BARO,0,0.0
326,371,0.371,SENSOR,1,29553,BARO,95555,33.64
328,371,0.371,SENSOR,2,29463,BARO,95551,32.91
330,371,0.371,SENSOR,3,0,BARO,0,0.0
335,381,0.381,SENSOR,1,29563,BARO,95577,33.66
337,381,0.381,SENSOR,2,29473,BARO,95551,32.91
339,381,0.381,SENSOR,3,0,BARO,0,0.0
344,391,0.391,SENSOR,1,29573,BARO,95559,33.66
346,391,0.391,SENSOR,2,29483,BARO,95551,32.91
348,391,0.391,SENSOR,3,0,BARO,0,0.0
353,401,0.401,SENSOR,1,29583,BARO,95555,33.64
355,401,0.401,SENSOR,2,29493,BARO,95551,32.91
357,401,0.401,SENSOR,3,0,BARO,0,0.0
362,411,0.411,SENSOR,1,29593,BARO,95555,33.64
364,411,0.411,SENSOR,2,29503,BARO,95570,32.91
366,411,0.411,SENSOR,3,0,BARO,0,0.0
371,421,0.421,SENSOR,1,29603,BARO,95555,33.64
373,421,0.421,SENSOR,2,29513,BARO,95551,32.91
375,421,0.421,SENSOR,3,0,BARO,0,0.0
380,431,0.431,SENSOR,1,29613,BARO,95555,33.64
382,431,0.431,SENSOR,2,29523,BARO,95551,32.91
384,431,0.431,SENSOR,3,0,BARO,0,0.0
389,441,0.441,SENSOR,1,29623,BARO,95574,33.64
391,441,0.441,SENSOR,2,29533,BARO,95570,32.91
393,441,0.441,SENSOR,3,0,BARO,0,0.0
398,451,0.451,SENSOR,1,29633,BARO,95574,33.64
400,451,0.451,SENSOR,2,29543,BARO,95551,32.91
402,451,0.451,SENSOR,3,0,BARO,0,0.0
407,461,0.461,SENSOR,1,29643,BARO,95555,33.64
409,461,0.461,SENSOR,2,29553,BARO,95551,32.91
411,461,0.461,SENSOR,3,0,BARO,0,0.0
416,471,0.471,SENSOR,1,29653,BARO,95555,33.64
418,471,0.471,SENSOR,2,29563,BARO,95551,32.91
420,471,0.471,SENSOR,3,0,BARO,0,0.0
425,481,0.481,SENSOR,1,29663,BARO,95555,33.64
427,481,0.481,SENSOR,2,29573,BARO,95551,32.91
429,481,0.481,SENSOR,3,0,BARO,0,0.0
434,491,0.491,SENSOR,1,29673,BARO,95574,33.64
436,491,0.491,SENSOR,2,29583,BARO,95551,32.91
438,491,0.491,SENSOR,3,0,BARO,0,0.0
443,501,0.501,SENSOR,1,29683,BARO,95577,33.66
445,501,0.501,SENSOR,2,29593,BARO,95531,32.91
447,501,0.501,SENSOR,3,0,BARO,0,0.0
452,511,0.511,SENSOR,1,29693,BARO,95555,33.64
457,511,0.511,SENSOR,2,29603,BARO,95551,32.91
459,511,0.511,SENSOR,3,0,BARO,0,0.0
467,521,0.521,SENSOR,1,29703,BARO,95574,33.64
469,521,0.521,SENSOR,2,29613,BARO,95551,32.91
471,521,0.521,SENSOR,3,0,BARO,0,0.0
476,531,0.531,SENSOR,1,29713,BARO,95574,33.64
478,531,0.531,SENSOR,2,29623,BARO,95531,32.91
480,531,0.531,SENSOR,3,0,BARO,0,0.0
485,541,0.541,SENSOR,1,29723,BARO,95555,33.64
487,541,0.541,SENSOR,2,29633,BARO,95551,32.91
489,541,0.541,SENSOR,3,0,BARO,0,0.0
494,551,0.551,SENSOR,1,29733,BARO,95574,33.64
496,551,0.551,SENSOR,2,29643,BARO,95551,32.91
498,551,0.551,SENSOR,3,0,BARO,0,0.0
503,561,0.561,SENSOR,1,29743,BARO,95574,33.64
505,561,0.561,SENSOR,2,29653,BARO,95551,32.91
507,561,0.561,SENSOR,3,0,BARO,0,0.0
512,571,0.571,SENSOR,1,29753,BARO,95555,33.64
514,571,0.571,SENSOR,2,29663,BARO,95551,32.91
516,571,0.571,SENSOR,3,0,BARO,0,0.0
521,581,0.581,SENSOR,1,29763,BARO,95555,33.64
523,581,0.581,SENSOR,2,29673,BARO,95551,32.91
525,581,0.581,SENSOR,3,0,BARO,0,0.0
530,591,0.591,SENSOR,1,29773,BARO,95574,33.64
532,591,0.591,SENSOR,2,29683,BARO,95551,32.91
534,591,0.591,SENSOR,3,0,BARO,0,0.0
539,601,0.601,SENSOR,1,29783,BARO,95574,33.64
541,601,0.601,SENSOR,2,29693,BARO,95551,32.91
543,601,0.601,SENSOR,3,0,BARO,0,0.0
548,611,0.611,SENSOR,1,29793,BARO,95555,33.64
550,611,0.611,SENSOR,2,29703,BARO,95551,32.91
552,611,0.611,SENSOR,3,0,BARO,0,0.0
557,621,0.621,SENSOR,1,29803,BARO,95555,33.64
559,621,0.621,SENSOR,2,29713,BARO,95551,32.91
561,621,0.621,SENSOR,3,0,BARO,0,0.0
566,631,0.631,SENSOR,1,29813,BARO,95555,33.64
568,631,0.631,SENSOR,2,29723,BARO,95551,32.91
570,631,0.631,SENSOR,3,0,BARO,0,0.0
575,641,0.641,SENSOR,1,29823,BARO,95555,33.64
577,641,0.641,SENSOR,2,29733,BARO,95531,32.91
579,641,0.641,SENSOR,3,0,BARO,0,0.0
585,651,0.651,SENSOR,1,29833,BARO,95574,33.64
587,651,0.651,SENSOR,2,29743,BARO,95551,32.91
589,651,0.651,SENSOR,3,0,BARO,0,0.0
595,661,0.661,SENSOR,1,29843,BARO,95555,33.64
597,661,0.661,SENSOR,2,29753,BARO,95551,32.91
599,661,0.661,SENSOR,3,0,BARO,0,0.0
606,671,0.671,SENSOR,1,29853,BARO,95555,33.64
608,671,0.671,SENSOR,2,29763,BARO,95551,32.91
610,671,0.671,SENSOR,3,0,BARO,0,0.0
616,681,0.681,SENSOR,1,29863,BARO,95555,33.64
618,681,0.681,SENSOR,2,29773,BARO,95551,32.91
620,681,0.681,SENSOR,3,0,BARO,0,0.0
625,691,0.691,SENSOR,1,29873,BARO,95555,33.64
627,691,0.691,SENSOR,2,29783,BARO,95551,32.91
629,691,0.691,SENSOR,3,0,BARO,0,0.0
634,701,0.701,SENSOR,1,29883,BARO,95559,33.66
636,701,0.701,SENSOR,2,29793,BARO,95570,32.91
638,701,0.701,SENSOR,3,0,BARO,0,0.0
643,711,0.711,SENSOR,1,29893,BARO,95574,33.64
645,711,0.711,SENSOR,2,29803,BARO,95531,32.91
647,711,0.711,SENSOR,3,0,BARO,0,0.0
652,721,0.721,SENSOR,1,29903,BARO,95574,33.64
654,721,0.721,SENSOR,2,29813,BARO,95551,32.91
656,721,0.721,SENSOR,3,0,BARO,0,0.0
661,731,0.731,SENSOR,1,29913,BARO,95536,33.64
663,731,0.731,SENSOR,2,29823,BARO,95551,32.91
665,731,0.731,SENSOR,3,0,BARO,0,0.0
670,741,0.741,SENSOR,1,29923,BARO,95574,33.64
672,741,0.741,SENSOR,2,29833,BARO,95551,32.91
674,741,0.741,SENSOR,3,0,BARO,0,0.0
680,751,0.751,SENSOR,1,29933,BARO,95555,33.64
682,751,0.751,SENSOR,2,29843,BARO,95551,32.91
684,751,0.751,SENSOR,3,0,BARO,0,0.0
689,761,0.761,SENSOR,1,29943,BARO,95555,33.64
691,761,0.761,SENSOR,2,29853,BARO,95551,32.91
693,761,0.761,SENSOR,3,0,BARO,0,0.0
698,771,0.771,SENSOR,1,29953,BARO,95555,33.64
700,771,0.771,SENSOR,2,29863,BARO,95551,32.91
702,771,0.771,SENSOR,3,0,BARO,0,0.0
707,781,0.781,SENSOR,1,29963,BARO,95559,33.66
709,781,0.781,SENSOR,2,29873,BARO,95551,32.91
711,781,0.781,SENSOR,3,0,BARO,0,0.0
716,791,0.791,SENSOR,1,29973,BARO,95555,33.64
718,791,0.791,SENSOR,2,29883,BARO,95531,32.91
720,791,0.791,SENSOR,3,0,BARO,0,0.0
725,801,0.801,SENSOR,1,29983,BARO,95555,33.64
727,801,0.801,SENSOR,2,29893,BARO,95531,32.91
729,801,0.801,SENSOR,3,0,BARO,0,0.0
734,811,0.811,SENSOR,1,29993,BARO,95555,33.64
736,811,0.811,SENSOR,2,29903,BARO,95551,32.91
738,811,0.811,SENSOR,3,0,BARO,0,0.0
743,821,0.821,SENSOR,1,30003,BARO,95574,33.64
745,821,0.821,SENSOR,2,29913,BARO,95531,32.91
747,821,0.821,SENSOR,3,0,BARO,0,0.0
752,831,0.831,SENSOR,1,30013,BARO,95574,33.64
754,831,0.831,SENSOR,2,29923,BARO,95551,32.91
756,831,0.831,SENSOR,3,0,BARO,0,0.0
761,841,0.841,SENSOR,1,30023,BARO,95555,33.64
763,841,0.841,SENSOR,2,29933,BARO,95551,32.91
765,841,0.841,SENSOR,3,0,BARO,0,0.0
771,851,0.851,SENSOR,1,30033,BARO,95555,33.64
773,851,0.851,SENSOR,2,29943,BARO,95551,32.91
775,851,0.851,SENSOR,3,0,BARO,0,0.0
780,861,0.861,SENSOR,1,30043,BARO,95574,33.64
782,861,0.861,SENSOR,2,29953,BARO,95531,32.91
784,861,0.861,SENSOR,3,0,BARO,0,0.0
