Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Type,Battery,Consumption,Current,Supply
471,1078,1.078,SENSOR,1,BATTERY,12456,0,232,3318
1333,2098,2.098,SENSOR,1,BATTERY,12458,0,217,3317
2178,3118,3.118,SENSOR,1,BATTERY,12457,0,234,3319
3049,4138,4.138,SENSOR,1,BATTERY,12455,0,250,3318
3874,5158,5.158,SENSOR,1,BATTERY,12458,0,216,3318
4561,6178,6.178,SENSOR,1,BATTERY,12458,0,229,3319
5423,7198,7.198,SENSOR,1,BATTERY,12453,0,199,3319
6268,8218,8.218,SENSOR,1,BATTERY,12459,0,217,3321
7139,9238,9.238,SENSOR,1,BATTERY,12456,0,217,3320
7976,10258,10.258,SENSOR,1,BATTERY,12455,0,234,3317
8829,11278,11.278,SENSOR,1,BATTERY,12458,0,227,3320
9691,12298,12.298,SENSOR,1,BATTERY,12458,0,214,3322
10536,13318,13.318,SENSOR,1,BATTERY,12461,0,239,3319
11407,14338,14.338,SENSOR,1,BATTERY,12456,0,237,3320
12244,15358,15.358,SENSOR,1,BATTERY,12459,0,224,3318
13097,16378,16.378,SENSOR,1,BATTERY,12459,1,221,3317
13959,17398,17.398,SENSOR,1,BATTERY,12459,1,235,3321
14804,18418,18.418,SENSOR,1,BATTERY,12461,1,190,3323
15675,19438,19.438,SENSOR,1,BATTERY,12464,1,228,3322
16520,20458,20.458,SENSOR,1,BATTERY,12460,1,221,3320
17365,21478,21.478,SENSOR,1,BATTERY,12462,1,239,3323
18227,22498,22.498,SENSOR,1,BATTERY,12461,1,241,3319
19072,23518,23.518,SENSOR,1,BATTERY,12463,1,227,3320
19946,24538,24.538,SENSOR,1,BATTERY,12460,1,238,3322
20783,25558,25.558,SENSOR,1,BATTERY,12464,1,246,3317
21636,26578,26.578,SENSOR,1,BATTERY,12463,1,216,3324
22498,27598,27.598,SENSOR,1,BATTERY,12465,1,208,3322
23343,28618,28.618,SENSOR,1,BATTERY,12462,1,204,3323
24214,29638,29.638,SENSOR,1,BATTERY,12463,1,217,3325
25051,30658,30.658,SENSOR,1,BATTERY,12460,1,221,3322
25904,31678,31.678,SENSOR,1,BATTERY,12466,1,238,3322
26766,32698,32.698,SENSOR,1,BATTERY,12464,2,218,3322
27611,33718,33.718,SENSOR,1,BATTERY,12469,2,249,3321
28482,34738,34.738,SENSOR,1,BATTERY,12465,2,216,3324
29319,35758,35.758,SENSOR,1,BATTERY,12469,2,225,3324
30172,36778,36.778,SENSOR,1,BATTERY,12466,2,223,3321
31034,37798,37.798,SENSOR,1,BATTERY,12466,2,221,3321
31879,38818,38.818,SENSOR,1,BATTERY,12469,2,234,3322
32750,39838,39.838,SENSOR,1,BATTERY,12468,2,270,3323
33601,40858,40.858,SENSOR,1,BATTERY,12469,2,202,3324
33610,41878,41.878,SENSOR,1,BATTERY,12471,2,229,3324
33619,42898,42.898,SENSOR,1,BATTERY,12472,2,283,3322
33620,43918,43.918,SENSOR,1,BATTERY,12471,2,236,3318
34272,44938,44.938,SENSOR,1,BATTERY,12470,2,248,3325
35109,45958,45.958,SENSOR,1,BATTERY,12469,2,236,3324
35962,46978,46.978,SENSOR,1,BATTERY,12468,2,233,3322
36824,47998,47.998,SENSOR,1,BATTERY,12466,2,237,3322
37669,49018,49.018,SENSOR,1,BATTERY,12469,3,224,3321
38543,50038,50.038,SENSOR,1,BATTERY,12470,3,234,3324
39380,51058,51.058,SENSOR,1,BATTERY,12469,3,254,3321
40233,52078,52.078,SENSOR,1,BATTERY,12477,3,210,3324
41095,53098,53.098,SENSOR,1,BATTERY,12475,3,244,3322
