Log Entry,Timestamp,Time_s,Log Entry Type,World Position (z),Rocket Velocity (z),Rocket Acceleration (z)
0,501,0.501,ESTIMATOR_VAR,0.0,0.0,0.0
15,513,0.513,ESTIMATOR_VAR,0.0,0.0,0.0
23,523,0.523,ESTIMATOR_VAR,0.0,0.0,0.054
31,531,0.531,ESTIMATOR_VAR,0.0,0.001,0.06
39,541,0.541,ESTIMATOR_VAR,0.0,0.001,0.057
47,552,0.552,ESTIMATOR_VAR,0.0,0.002,0.06
55,561,0.561,ESTIMATOR_VAR,0.0,0.003,0.073
69,574,0.574,ESTIMATOR_VAR,0.0,0.004,0.076
72,582,0.582,ESTIMATOR_VAR,0.0,0.006,0.07
84,595,0.595,ESTIMATOR_VAR,0.0,0.007,0.07
93,606,0.606,ESTIMATOR_VAR,0.001,0.008,0.067
97,612,0.612,ESTIMATOR_VAR,0.001,0.01,0.06
105,621,0.621,ESTIMATOR_VAR,0.001,0.012,0.07
118,631,0.631,ESTIMATOR_VAR,0.001,0.014,0.06
126,641,0.641,ESTIMATOR_VAR,0.002,0.017,0.067
134,654,0.654,ESTIMATOR_VAR,0.002,0.019,0.06
142,661,0.661,ESTIMATOR_VAR,0.003,0.023,0.073
150,671,0.671,ESTIMATOR_VAR,0.003,0.026,0.063
158,681,0.681,ESTIMATOR_VAR,0.004,0.029,0.051
167,691,0.691,ESTIMATOR_VAR,0.005,0.033,0.047
175,701,0.701,ESTIMATOR_VAR,0.006,0.038,0.063
184,711,0.711,ESTIMATOR_VAR,0.007,0.043,0.063
192,721,0.721,ESTIMATOR_VAR,0.008,0.048,0.063
200,731,0.731,ESTIMATOR_VAR,0.009,0.054,0.07
209,741,0.741,ESTIMATOR_VAR,0.01,0.06,0.051
217,751,0.751,ESTIMATOR_VAR,0.012,0.067,0.06
225,761,0.761,ESTIMATOR_VAR,0.014,0.074,0.057
233,771,0.771,ESTIMATOR_VAR,0.016,0.082,0.067
241,781,0.781,ESTIMATOR_VAR,0.018,0.09,0.06
250,791,0.791,ESTIMATOR_VAR,0.021,0.099,0.054
258,801,0.801,ESTIMATOR_VAR,0.024,0.109,0.067
267,814,0.814,ESTIMATOR_VAR,0.027,0.119,0.076
275,821,0.821,ESTIMATOR_VAR,0.03,0.13,0.07
283,831,0.831,ESTIMATOR_VAR,0.034,0.141,0.067
292,841,0.841,ESTIMATOR_VAR,0.038,0.154,0.076
300,851,0.851,ESTIMATOR_VAR,0.042,0.167,0.063
308,861,0.861,ESTIMATOR_VAR,0.047,0.18,0.06
316,871,0.871,ESTIMATOR_VAR,0.052,0.195,0.057
324,881,0.881,ESTIMATOR_VAR,0.058,0.21,0.054
333,891,0.891,ESTIMATOR_VAR,0.064,0.226,0.041
341,901,0.901,ESTIMATOR_VAR,0.07,0.242,0.047
350,911,0.911,ESTIMATOR_VAR,0.077,0.26,0.047
358,921,0.921,ESTIMATOR_VAR,0.085,0.278,0.06
366,931,0.931,ESTIMATOR_VAR,0.093,0.298,0.06
375,941,0.941,ESTIMATOR_VAR,0.102,0.318,0.054
383,951,0.951,ESTIMATOR_VAR,0.111,0.339,0.07
391,961,0.961,ESTIMATOR_VAR,0.121,0.361,0.063
399,971,0.971,ESTIMATOR_VAR,0.131,0.384,0.067
407,981,0.981,ESTIMATOR_VAR,0.143,0.409,0.07
416,991,0.991,ESTIMATOR_VAR,0.155,0.434,0.057
429,1007,1.007,ESTIMATOR_VAR,0.167,0.46,0.057
435,1012,1.012,ESTIMATOR_VAR,0.181,0.487,0.083
439,1021,1.021,ESTIMATOR_VAR,0.186,0.488,0.083
452,1031,1.031,ESTIMATOR_VAR,0.2,0.516,0.079
461,1041,1.041,ESTIMATOR_VAR,0.215,0.546,0.07
469,1051,1.051,ESTIMATOR_VAR,0.231,0.576,0.079
478,1061,1.061,ESTIMATOR_VAR,0.248,0.608,0.079
486,1071,1.071,ESTIMATOR_VAR,0.266,0.641,0.083
494,1081,1.081,ESTIMATOR_VAR,0.285,0.675,0.076
503,1091,1.091,ESTIMATOR_VAR,0.305,0.711,0.076
511,1101,1.101,ESTIMATOR_VAR,0.326,0.747,0.063
515,1111,1.111,ESTIMATOR_VAR,0.348,0.785,0.067
528,1121,1.121,ESTIMATOR_VAR,0.372,0.824,0.067
536,1131,1.131,ESTIMATOR_VAR,0.396,0.864,0.063
545,1141,1.141,ESTIMATOR_VAR,0.422,0.905,0.054
553,1151,1.151,ESTIMATOR_VAR,0.448,0.948,0.06
561,1161,1.161,ESTIMATOR_VAR,0.476,0.992,0.073
569,1171,1.171,ESTIMATOR_VAR,0.506,1.038,0.083
577,1181,1.181,ESTIMATOR_VAR,0.537,1.085,0.07
586,1191,1.191,ESTIMATOR_VAR,0.569,1.133,0.063
594,1201,1.201,ESTIMATOR_VAR,0.602,1.183,0.067
603,1211,1.211,ESTIMATOR_VAR,0.638,1.234,0.067
611,1221,1.221,ESTIMATOR_VAR,0.674,1.286,0.067
619,1231,1.231,ESTIMATOR_VAR,0.712,1.34,0.07
628,1241,1.241,ESTIMATOR_VAR,0.752,1.396,0.073
636,1251,1.251,ESTIMATOR_VAR,0.794,1.453,0.067
644,1261,1.261,ESTIMATOR_VAR,0.837,1.512,0.054
652,1271,1.271,ESTIMATOR_VAR,0.882,1.572,0.054
660,1281,1.281,ESTIMATOR_VAR,0.929,1.634,0.063
669,1291,1.291,ESTIMATOR_VAR,0.978,1.698,0.067
677,1301,1.301,ESTIMATOR_VAR,1.028,1.763,0.054
686,1311,1.311,ESTIMATOR_VAR,1.081,1.829,0.041
694,1321,1.321,ESTIMATOR_VAR,1.135,1.898,0.06
702,1331,1.331,ESTIMATOR_VAR,1.192,1.968,0.067
711,1341,1.341,ESTIMATOR_VAR,1.25,2.04,0.067
719,1351,1.351,ESTIMATOR_VAR,1.311,2.113,0.067
727,1361,1.361,ESTIMATOR_VAR,1.374,2.189,0.057
735,1371,1.371,ESTIMATOR_VAR,1.44,2.266,0.047
743,1381,1.381,ESTIMATOR_VAR,1.507,2.345,0.054
752,1391,1.391,ESTIMATOR_VAR,1.577,2.425,0.054
760,1401,1.401,ESTIMATOR_VAR,1.65,2.508,0.054
769,1411,1.411,ESTIMATOR_VAR,1.724,2.592,0.057
777,1424,1.424,ESTIMATOR_VAR,1.802,2.678,0.063
785,1431,1.431,ESTIMATOR_VAR,1.882,2.767,0.063
794,1441,1.441,ESTIMATOR_VAR,1.965,2.857,0.067
802,1451,1.451,ESTIMATOR_VAR,2.05,2.949,0.063
810,1461,1.461,ESTIMATOR_VAR,2.138,3.043,0.07
818,1471,1.471,ESTIMATOR_VAR,2.229,3.139,0.076
826,1481,1.481,ESTIMATOR_VAR,2.322,3.237,0.073
835,1491,1.491,ESTIMATOR_VAR,2.419,3.337,0.07
848,1507,1.507,ESTIMATOR_VAR,2.519,3.439,0.06
854,1512,1.512,ESTIMATOR_VAR,2.621,3.543,0.054
858,1521,1.521,ESTIMATOR_VAR,2.657,3.543,0.054
871,1531,1.531,ESTIMATOR_VAR,2.762,3.649,0.067
880,1541,1.541,ESTIMATOR_VAR,2.871,3.758,0.073
888,1551,1.551,ESTIMATOR_VAR,2.984,3.868,0.063
896,1561,1.561,ESTIMATOR_VAR,3.099,3.98,0.063
904,1571,1.571,ESTIMATOR_VAR,3.218,4.095,0.067
912,1581,1.581,ESTIMATOR_VAR,3.34,4.211,0.07
921,1591,1.591,ESTIMATOR_VAR,3.465,4.33,0.076
929,1601,1.601,ESTIMATOR_VAR,3.595,4.451,0.07
938,1611,1.611,ESTIMATOR_VAR,3.727,4.574,0.073
946,1621,1.621,ESTIMATOR_VAR,3.864,4.7,0.067
954,1631,1.631,ESTIMATOR_VAR,4.004,4.827,0.051
963,1641,1.641,ESTIMATOR_VAR,4.148,4.957,0.057
971,1651,1.651,ESTIMATOR_VAR,4.296,5.089,0.057
979,1661,1.661,ESTIMATOR_VAR,4.448,5.224,0.063
987,1671,1.671,ESTIMATOR_VAR,4.603,5.36,0.063
995,1681,1.681,ESTIMATOR_VAR,4.763,5.5,0.067
1004,1691,1.691,ESTIMATOR_VAR,4.927,5.641,0.079
1012,1701,1.701,ESTIMATOR_VAR,5.095,5.785,0.063
1021,1711,1.711,ESTIMATOR_VAR,5.267,5.931,0.054
1028,1722,1.722,ESTIMATOR_VAR,5.444,6.08,0.07
1032,1731,1.731,ESTIMATOR_VAR,5.505,6.08,0.07
1046,1741,1.741,ESTIMATOR_VAR,5.686,6.232,0.07
1054,1751,1.751,ESTIMATOR_VAR,5.872,6.386,0.06
1062,1761,1.761,ESTIMATOR_VAR,6.062,6.541,0.057
1070,1771,1.771,ESTIMATOR_VAR,6.257,6.7,0.057
1078,1781,1.781,ESTIMATOR_VAR,6.456,6.86,0.07
1087,1791,1.791,ESTIMATOR_VAR,6.66,7.023,0.076
1095,1801,1.801,ESTIMATOR_VAR,6.868,7.189,0.051
1104,1811,1.811,ESTIMATOR_VAR,7.082,7.357,0.057
1112,1821,1.821,ESTIMATOR_VAR,7.301,7.527,0.06
1120,1831,1.831,ESTIMATOR_VAR,7.524,7.701,0.07
1129,1841,1.841,ESTIMATOR_VAR,7.753,7.877,0.07
1137,1851,1.851,ESTIMATOR_VAR,7.987,8.055,0.07
1145,1861,1.861,ESTIMATOR_VAR,8.226,8.236,0.073
1153,1871,1.871,ESTIMATOR_VAR,8.471,8.42,0.06
1161,1884,1.884,ESTIMATOR_VAR,8.72,8.606,0.054
1170,1891,1.891,ESTIMATOR_VAR,8.976,8.794,0.054
1178,1901,1.901,ESTIMATOR_VAR,9.237,8.986,0.054
1187,1911,1.911,ESTIMATOR_VAR,9.503,9.18,0.07
1195,1921,1.921,ESTIMATOR_VAR,9.776,9.377,0.054
1203,1931,1.931,ESTIMATOR_VAR,10.053,9.576,0.067
1212,1941,1.941,ESTIMATOR_VAR,10.337,9.778,0.07
1220,1951,1.951,ESTIMATOR_VAR,10.626,9.983,0.06
1228,1961,1.961,ESTIMATOR_VAR,10.922,10.191,0.067
1236,1971,1.971,ESTIMATOR_VAR,11.223,10.401,0.07
1244,1981,1.981,ESTIMATOR_VAR,11.531,10.614,0.067
1253,1991,1.991,ESTIMATOR_VAR,11.845,10.83,0.076
1266,2006,2.006,ESTIMATOR_VAR,12.165,11.048,0.083
1272,2012,2.012,ESTIMATOR_VAR,12.492,11.27,0.073
