Log Entry,Timestamp,Log Entry Type,Data,Time_s
1,1001,ESTIMATOR_VAR,20202020,1.001
203,2001,ESTIMATOR_VAR,20202020,2.001
405,3001,ESTIMATOR_VAR,20202020,3.001
607,4001,ESTIMATOR_VAR,20202020,4.001
809,5001,ESTIMATOR_VAR,20202020,5.001
1011,6001,ESTIMATOR_VAR,20202020,6.001
1213,7001,ESTIMATOR_VAR,20202020,7.001
1415,8001,ESTIMATOR_VAR,20202020,8.001
1617,9001,ESTIMATOR_VAR,20202020,9.001
1819,10001,ESTIMATOR_VAR,20202020,10.001
2021,11001,ESTIMATOR_VAR,20202020,11.001
2223,12001,ESTIMATOR_VAR,20202020,12.001
2425,13001,ESTIMATOR_VAR,20202020,13.001
2627,14001,ESTIMATOR_VAR,20202020,14.001
2829,15001,ESTIMATOR_VAR,20202020,15.001
3031,16001,ESTIMATOR_VAR,20202020,16.001
3233,17001,ESTIMATOR_VAR,20202020,17.001
3435,18001,ESTIMATOR_VAR,20202020,18.001
3637,19001,ESTIMATOR_VAR,20202020,19.001
3839,20001,ESTIMATOR_VAR,20202020,20.001
4041,21001,ESTIMATOR_VAR,20202020,21.001
4243,22001,ESTIMATOR_VAR,20202020,22.001
4445,23001,ESTIMATOR_VAR,20202020,23.001
4647,24001,ESTIMATOR_VAR,20202020,24.001
4849,25001,ESTIMATOR_VAR,20202020,25.001
