Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
4,11,0.011,SENSOR,1,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
6,11,0.011,SENSOR,2,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
8,11,0.011,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
12,21,0.021,SENSOR,1,29194,IMU,-0.01171875,0.0517578125,-1.02734375,0.10687022900763359,-0.13740458015267176,-0.21374045801526717
15,21,0.021,SENSOR,2,29104,IMU,-0.0439453125,-0.01953125,-0.9951171875,0.030534351145038167,-0.22900763358778625,-0.13740458015267176
17,21,0.021,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
21,31,0.031,SENSOR,1,29204,IMU,-0.0126953125,0.052734375,-1.0283203125,0.12213740458015267,-0.13740458015267176,-0.21374045801526717
24,31,0.031,SENSOR,2,29114,IMU,-0.04296875,-0.01953125,-0.994140625,0.030534351145038167,-0.22900763358778625,-0.12213740458015267
26,31,0.031,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
30,41,0.041,SENSOR,1,29214,IMU,-0.01171875,0.052734375,-1.02734375,0.12213740458015267,-0.12213740458015267,-0.21374045801526717
33,41,0.041,SENSOR,2,29124,IMU,-0.04296875,-0.01953125,-0.99609375,0.030534351145038167,-0.21374045801526717,-0.12213740458015267
35,41,0.041,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
39,51,0.051,SENSOR,1,29224,IMU,-0.01171875,0.0517578125,-1.02734375,0.13740458015267176,-0.13740458015267176,-0.21374045801526717
42,51,0.051,SENSOR,2,29134,IMU,-0.0439453125,-0.0205078125,-0.9970703125,0.030534351145038167,-0.22900763358778625,-0.12213740458015267
44,51,0.051,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
48,61,0.061,SENSOR,1,29234,IMU,-0.0107421875,0.05078125,-1.0263671875,0.12213740458015267,-0.13740458015267176,-0.1984732824427481
50,61,0.061,SENSOR,2,29144,IMU,-0.044921875,-0.021484375,-0.9951171875,0.015267175572519083,-0.21374045801526717,-0.12213740458015267
52,61,0.061,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
57,71,0.071,SENSOR,1,29244,IMU,-0.01171875,0.0498046875,-1.025390625,0.12213740458015267,-0.15267175572519084,-0.21374045801526717
59,71,0.071,SENSOR,2,29154,IMU,-0.044921875,-0.021484375,-0.99609375,0.015267175572519083,-0.21374045801526717,-0.12213740458015267
61,71,0.071,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
66,81,0.081,SENSOR,1,29254,IMU,-0.01171875,0.05078125,-1.0263671875,0.12213740458015267,-0.13740458015267176,-0.21374045801526717
68,81,0.081,SENSOR,2,29164,IMU,-0.0439453125,-0.021484375,-0.998046875,0.030534351145038167,-0.21374045801526717,-0.12213740458015267
70,81,0.081,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
75,91,0.091,SENSOR,1,29264,IMU,-0.01171875,0.05078125,-1.0263671875,0.10687022900763359,-0.15267175572519084,-0.21374045801526717
77,91,0.091,SENSOR,2,29174,IMU,-0.04296875,-0.021484375,-0.9970703125,0.030534351145038167,-0.21374045801526717,-0.12213740458015267
79,91,0.091,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
84,101,0.101,SENSOR,1,29274,IMU,-0.01171875,0.05078125,-1.0263671875,0.10687022900763359,-0.15267175572519084,-0.21374045801526717
86,101,0.101,SENSOR,2,29184,IMU,-0.0439453125,-0.021484375,-0.9970703125,0.030534351145038167,-0.1984732824427481,-0.12213740458015267
88,101,0.101,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
93,111,0.111,SENSOR,1,29284,IMU,-0.0107421875,0.05078125,-1.0263671875,0.12213740458015267,-0.13740458015267176,-0.21374045801526717
95,111,0.111,SENSOR,2,29194,IMU,-0.0439453125,-0.0205078125,-0.9951171875,0.030534351145038167,-0.1984732824427481,-0.12213740458015267
97,111,0.111,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
102,121,0.121,SENSOR,1,29294,IMU,-0.0107421875,0.05078125,-1.0263671875,0.10687022900763359,-0.13740458015267176,-0.21374045801526717
104,121,0.121,SENSOR,2,29204,IMU,-0.0439453125,-0.0205078125,-0.994140625,0.030534351145038167,-0.1984732824427481,-0.12213740458015267
106,121,0.121,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
111,131,0.131,SENSOR,1,29304,IMU,-0.0107421875,0.0517578125,-1.0263671875,0.10687022900763359,-0.15267175572519084,-0.1984732824427481
113,131,0.131,SENSOR,2,29214,IMU,-0.0439453125,-0.0205078125,-0.9951171875,0.030534351145038167,-0.21374045801526717,-0.12213740458015267
115,131,0.131,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
120,141,0.141,SENSOR,1,29314,IMU,-0.0107421875,0.052734375,-1.02734375,0.10687022900763359,-0.13740458015267176,-0.21374045801526717
122,141,0.141,SENSOR,2,29224,IMU,-0.0439453125,-0.0185546875,-0.994140625,0.030534351145038167,-0.22900763358778625,-0.12213740458015267
124,141,0.141,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
129,151,0.151,SENSOR,1,29324,IMU,-0.01171875,0.0517578125,-1.02734375,0.10687022900763359,-0.15267175572519084,-0.1984732824427481
131,151,0.151,SENSOR,2,29234,IMU,-0.0439453125,-0.0205078125,-0.994140625,0.030534351145038167,-0.21374045801526717,-0.12213740458015267
133,151,0.151,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
138,161,0.161,SENSOR,1,29334,IMU,-0.01171875,0.05078125,-1.02734375,0.12213740458015267,-0.15267175572519084,-0.21374045801526717
140,161,0.161,SENSOR,2,29244,IMU,-0.044921875,-0.0205078125,-0.994140625,0.030534351145038167,-0.1984732824427481,-0.12213740458015267
142,161,0.161,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
147,171,0.171,SENSOR,1,29344,IMU,-0.01171875,0.0517578125,-1.0263671875,0.10687022900763359,-0.15267175572519084,-0.22900763358778625
149,171,0.171,SENSOR,2,29254,IMU,-0.044921875,-0.0205078125,-0.994140625,0.030534351145038167,-0.21374045801526717,-0.12213740458015267
151,171,0.171,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
156,181,0.181,SENSOR,1,29354,IMU,-0.01171875,0.05078125,-1.02734375,0.10687022900763359,-0.15267175572519084,-0.22900763358778625
158,181,0.181,SENSOR,2,29264,IMU,-0.044921875,-0.0205078125,-0.9951171875,0.030534351145038167,-0.21374045801526717,-0.12213740458015267
160,181,0.181,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
165,191,0.191,SENSOR,1,29364,IMU,-0.01171875,0.05078125,-1.02734375,0.10687022900763359,-0.15267175572519084,-0.21374045801526717
167,191,0.191,SENSOR,2,29274,IMU,-0.0439453125,-0.0205078125,-0.994140625,0.030534351145038167,-0.21374045801526717,-0.10687022900763359
169,191,0.191,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
174,201,0.201,SENSOR,1,29374,IMU,-0.01171875,0.05078125,-1.02734375,0.10687022900763359,-0.15267175572519084,-0.21374045801526717
176,201,0.201,SENSOR,2,29284,IMU,-0.04296875,-0.0205078125,-0.99609375,0.04580152671755725,-0.22900763358778625,-0.10687022900763359
178,201,0.201,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
183,211,0.211,SENSOR,1,29384,IMU,-0.01171875,0.05078125,-1.0263671875,0.10687022900763359,-0.15267175572519084,-0.21374045801526717
185,211,0.211,SENSOR,2,29294,IMU,-0.044921875,-0.021484375,-0.99609375,0.04580152671755725,-0.21374045801526717,-0.12213740458015267
187,211,0.211,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
192,221,0.221,SENSOR,1,29394,IMU,-0.01171875,0.05078125,-1.0263671875,0.10687022900763359,-0.15267175572519084,-0.21374045801526717
194,221,0.221,SENSOR,2,29304,IMU,-0.044921875,-0.0205078125,-0.9970703125,0.030534351145038167,-0.21374045801526717,-0.12213740458015267
196,221,0.221,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
201,231,0.231,SENSOR,1,29404,IMU,-0.0107421875,0.05078125,-1.0263671875,0.10687022900763359,-0.13740458015267176,-0.21374045801526717
203,231,0.231,SENSOR,2,29314,IMU,-0.044921875,-0.0205078125,-0.9970703125,0.030534351145038167,-0.1984732824427481,-0.12213740458015267
205,231,0.231,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
210,241,0.241,SENSOR,1,29414,IMU,-0.01171875,0.05078125,-1.025390625,0.10687022900763359,-0.15267175572519084,-0.22900763358778625
212,241,0.241,SENSOR,2,29324,IMU,-0.0439453125,-0.01953125,-0.99609375,0.030534351145038167,-0.1984732824427481,-0.12213740458015267
214,241,0.241,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
219,251,0.251,SENSOR,1,29424,IMU,-0.01171875,0.0517578125,-1.025390625,0.12213740458015267,-0.15267175572519084,-0.21374045801526717
221,251,0.251,SENSOR,2,29334,IMU,-0.0439453125,-0.01953125,-0.99609375,0.04580152671755725,-0.21374045801526717,-0.10687022900763359
223,251,0.251,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
228,261,0.261,SENSOR,1,29434,IMU,-0.0107421875,0.05078125,-1.0244140625,0.12213740458015267,-0.15267175572519084,-0.21374045801526717
230,261,0.261,SENSOR,2,29344,IMU,-0.044921875,-0.01953125,-0.994140625,0.04580152671755725,-0.22900763358778625,-0.10687022900763359
232,261,0.261,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
237,271,0.271,SENSOR,1,29444,IMU,-0.01171875,0.0498046875,-1.0263671875,0.10687022900763359,-0.15267175572519084,-0.21374045801526717
239,271,0.271,SENSOR,2,29354,IMU,-0.044921875,-0.0205078125,-0.994140625,0.030534351145038167,-0.21374045801526717,-0.12213740458015267
241,271,0.271,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
246,281,0.281,SENSOR,1,29454,IMU,-0.0126953125,0.0498046875,-1.025390625,0.12213740458015267,-0.13740458015267176,-0.21374045801526717
248,281,0.281,SENSOR,2,29364,IMU,-0.0439453125,-0.0205078125,-0.994140625,0.030534351145038167,-0.21374045801526717,-0.10687022900763359
250,281,0.281,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
255,291,0.291,SENSOR,1,29464,IMU,-0.01171875,0.05078125,-1.025390625,0.12213740458015267,-0.13740458015267176,-0.22900763358778625
257,291,0.291,SENSOR,2,29374,IMU,-0.0439453125,-0.01953125,-0.994140625,0.04580152671755725,-0.22900763358778625,-0.10687022900763359
259,291,0.291,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
264,301,0.301,SENSOR,1,29474,IMU,-0.01171875,0.05078125,-1.025390625,0.12213740458015267,-0.12213740458015267,-0.22900763358778625
266,301,0.301,SENSOR,2,29384,IMU,-0.04296875,-0.01953125,-0.9951171875,0.04580152671755725,-0.22900763358778625,-0.10687022900763359
268,301,0.301,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
273,311,0.311,SENSOR,1,29484,IMU,-0.0107421875,0.0498046875,-1.0244140625,0.12213740458015267,-0.13740458015267176,-0.21374045801526717
275,311,0.311,SENSOR,2,29394,IMU,-0.0439453125,-0.01953125,-0.9951171875,0.030534351145038167,-0.22900763358778625,-0.12213740458015267
277,311,0.311,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
282,321,0.321,SENSOR,1,29494,IMU,-0.01171875,0.05078125,-1.025390625,0.12213740458015267,-0.15267175572519084,-0.21374045801526717
284,321,0.321,SENSOR,2,29404,IMU,-0.0439453125,-0.01953125,-0.9970703125,0.030534351145038167,-0.22900763358778625,-0.12213740458015267
286,321,0.321,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
291,331,0.331,SENSOR,1,29504,IMU,-0.0107421875,0.05078125,-1.02734375,0.12213740458015267,-0.13740458015267176,-0.21374045801526717
293,331,0.331,SENSOR,2,29414,IMU,-0.0439453125,-0.0205078125,-0.9970703125,0.030534351145038167,-0.22900763358778625,-0.12213740458015267
295,331,0.331,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
300,341,0.341,SENSOR,1,29514,IMU,-0.01171875,0.05078125,-1.0244140625,0.12213740458015267,-0.13740458015267176,-0.21374045801526717
302,341,0.341,SENSOR,2,29424,IMU,-0.0439453125,-0.021484375,-0.99609375,0.030534351145038167,-0.22900763358778625,-0.12213740458015267
304,341,0.341,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
309,351,0.351,SENSOR,1,29524,IMU,-0.0107421875,0.0517578125,-1.025390625,0.12213740458015267,-0.13740458015267176,-0.21374045801526717
311,351,0.351,SENSOR,2,29434,IMU,-0.0439453125,-0.021484375,-0.9951171875,0.030534351145038167,-0.22900763358778625,-0.12213740458015267
313,351,0.351,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
318,361,0.361,SENSOR,1,29534,IMU,-0.01171875,0.0517578125,-1.0263671875,0.12213740458015267,-0.13740458015267176,-0.21374045801526717
320,361,0.361,SENSOR,2,29444,IMU,-0.044921875,-0.021484375,-0.9951171875,0.030534351145038167,-0.22900763358778625,-0.12213740458015267
322,361,0.361,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
327,371,0.371,SENSOR,1,29544,IMU,-0.0107421875,0.0517578125,-1.0283203125,0.10687022900763359,-0.15267175572519084,-0.21374045801526717
329,371,0.371,SENSOR,2,29454,IMU,-0.0439453125,-0.021484375,-0.9951171875,0.030534351145038167,-0.21374045801526717,-0.12213740458015267
331,371,0.371,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
336,381,0.381,SENSOR,1,29554,IMU,-0.01171875,0.05078125,-1.0263671875,0.12213740458015267,-0.13740458015267176,-0.21374045801526717
338,381,0.381,SENSOR,2,29464,IMU,-0.0439453125,-0.021484375,-0.994140625,0.030534351145038167,-0.21374045801526717,-0.12213740458015267
340,381,0.381,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
345,391,0.391,SENSOR,1,29564,IMU,-0.01171875,0.0517578125,-1.025390625,0.12213740458015267,-0.13740458015267176,-0.21374045801526717
347,391,0.391,SENSOR,2,29474,IMU,-0.0439453125,-0.0205078125,-0.9951171875,0.015267175572519083,-0.21374045801526717,-0.10687022900763359
349,391,0.391,SENSOR,3,0,IMU,0.0,0.0,0.0,0.0,0.0,0.0
