Log Entry,Timestamp,Log Entry Type,Data,Time_s
160,686,MOTOR,"-2,1579197861",0.686
202,736,MOTOR,"-2,0",0.736
243,786,MOTOR,"-2,0",0.786
285,836,MOTOR,"-2,0",0.836
326,886,MOTOR,"-2,0",0.886
368,936,MOTOR,"-2,0",0.936
409,986,MOTOR,"-2,0",0.986
454,1036,MOTOR,"-2,0",1.036
496,1086,MOTOR,"-2,0",1.086
538,1136,MOTOR,"-2,0",1.136
579,1186,MOTOR,"-2,0",1.186
621,1236,MOTOR,"-2,0",1.236
662,1286,MOTOR,"-2,0",1.286
704,1336,MOTOR,"-2,0",1.336
745,1386,MOTOR,"-2,0",1.386
787,1437,MOTOR,"-2,0",1.437
828,1487,MOTOR,"-2,0",1.487
873,1536,MOTOR,"-2,0",1.536
914,1586,MOTOR,"-2,0",1.586
956,1636,MOTOR,"-2,0",1.636
997,1686,MOTOR,"-2,0",1.686
1039,1736,MOTOR,"-2,0",1.736
1080,1786,MOTOR,"-2,0",1.786
1122,1836,MOTOR,"-2,0",1.836
1163,1886,MOTOR,"-2,0",1.886
1205,1936,MOTOR,"-2,0",1.936
1246,1986,MOTOR,"-2,0",1.986
1291,2036,MOTOR,"-2,0",2.036
1332,2086,MOTOR,"-2,0",2.086
1375,2136,MOTOR,"-2,0",2.136
1416,2186,MOTOR,"-2,0",2.186
1458,2236,MOTOR,"-2,0",2.236
1499,2286,MOTOR,"-2,0",2.286
1541,2336,MOTOR,"-2,0",2.336
1582,2386,MOTOR,"-2,0",2.386
1624,2436,MOTOR,"-2,0",2.436
1665,2487,MOTOR,"-2,0",2.487
1710,2536,MOTOR,"-2,0",2.536
1751,2586,MOTOR,"-2,0",2.586
1793,2636,MOTOR,"-2,0",2.636
1834,2686,MOTOR,"-2,0",2.686
1876,2736,MOTOR,"-2,0",2.736
1917,2786,MOTOR,"-2,0",2.786
1959,2836,MOTOR,"-2,0",2.836
2000,2886,MOTOR,"-2,0",2.886
2042,2936,MOTOR,"-2,0",2.936
2083,2986,MOTOR,"-2,0",2.986
2128,3036,MOTOR,"-2,0",3.036
2169,3086,MOTOR,"-2,0",3.086
2212,3136,MOTOR,"-2,0",3.136
2253,3186,MOTOR,"-2,0",3.186
2295,3236,MOTOR,"-2,0",3.236
2336,3286,MOTOR,"-2,0",3.286
2378,3336,MOTOR,"-2,0",3.336
2419,3386,MOTOR,"-2,0",3.386
2461,3437,MOTOR,"-2,0",3.437
2502,3487,MOTOR,"-2,0",3.487
2547,3536,MOTOR,"-2,0",3.536
2588,3586,MOTOR,"-2,0",3.586
2630,3636,MOTOR,"-2,0",3.636
2671,3686,MOTOR,"-2,0",3.686
2713,3737,MOTOR,"-2,0",3.737
2754,3786,MOTOR,"-2,0",3.786
2796,3836,MOTOR,"-2,0",3.836
2837,3886,MOTOR,"-2,0",3.886
2879,3937,MOTOR,"-2,0",3.937
2920,3987,MOTOR,"-2,0",3.987
2965,4036,MOTOR,"-2,0",4.036
3006,4086,MOTOR,"-2,0",4.086
3048,4136,MOTOR,"-2,0",4.136
3090,4186,MOTOR,"-2,0",4.186
3132,4236,MOTOR,"-2,0",4.236
3173,4286,MOTOR,"-2,0",4.286
3215,4336,MOTOR,"-2,0",4.336
3256,4387,MOTOR,"-2,0",4.387
3298,4436,MOTOR,"-2,0",4.436
3339,4486,MOTOR,"-2,0",4.486
3384,4536,MOTOR,"-2,0",4.536
3425,4586,MOTOR,"-2,0",4.586
3467,4636,MOTOR,"-2,0",4.636
3508,4686,MOTOR,"-2,0",4.686
3550,4736,MOTOR,"-2,0",4.736
3591,4786,MOTOR,"-2,0",4.786
3633,4836,MOTOR,"-2,0",4.836
3674,4886,MOTOR,"-2,0",4.886
3716,4938,MOTOR,"-2,0",4.938
3757,4987,MOTOR,"-2,0",4.987
3802,5039,MOTOR,"-2,0",5.039
3839,5286,MOTOR,"-2,0",5.286
3873,5338,MOTOR,"-2,0",5.338
3915,5386,MOTOR,"-2,0",5.386
3957,5436,MOTOR,"-2,0",5.436
3998,5486,MOTOR,"-2,0",5.486
4043,5536,MOTOR,"-2,0",5.536
4084,5587,MOTOR,"-2,0",5.587
4126,5636,MOTOR,"-2,0",5.636
4167,5686,MOTOR,"-2,0",5.686
4209,5736,MOTOR,"-2,0",5.736
4250,5786,MOTOR,"-2,0",5.786
4292,5836,MOTOR,"-2,0",5.836
4333,5886,MOTOR,"-2,0",5.886
4375,5936,MOTOR,"-2,0",5.936
4416,5986,MOTOR,"-2,0",5.986
4461,6037,MOTOR,"-2,0",6.037
4502,6086,MOTOR,"-2,0",6.086
4544,6136,MOTOR,"-2,0",6.136
4586,6186,MOTOR,"-2,0",6.186
4628,6236,MOTOR,"-2,0",6.236
4669,6286,MOTOR,"-2,0",6.286
4711,6336,MOTOR,"-2,0",6.336
4752,6386,MOTOR,"-2,0",6.386
4794,6436,MOTOR,"-2,0",6.436
