Log Entry,Timestamp,Log Entry Type,State,Time_s
4,504,STATE,IDLE,0.504
95,609,STATE,IDLE,0.609
177,704,STATE,IDLE,0.704
260,804,STATE,IDLE,0.804
343,904,STATE,IDLE,0.904
428,1005,STATE,IDLE,1.005
513,1104,STATE,IDLE,1.104
596,1204,STATE,IDLE,1.204
679,1304,STATE,IDLE,1.304
762,1404,STATE,IDLE,1.404
847,1505,STATE,IDLE,1.505
931,1604,STATE,IDLE,1.604
1014,1704,STATE,IDLE,1.704
1097,1804,STATE,IDLE,1.804
1180,1904,STATE,IDLE,1.904
1265,2005,STATE,IDLE,2.005
1350,2104,STATE,IDLE,2.104
1433,2204,STATE,IDLE,2.204
1516,2304,STATE,IDLE,2.304
1599,2404,STATE,IDLE,2.404
1684,2505,STATE,IDLE,2.505
1768,2604,STATE,IDLE,2.604
1851,2704,STATE,IDLE,2.704
1934,2804,STATE,IDLE,2.804
2017,2904,STATE,IDLE,2.904
2102,3005,STATE,IDLE,3.005
2187,3104,STATE,IDLE,3.104
2270,3204,STATE,IDLE,3.204
2353,3304,STATE,IDLE,3.304
2436,3404,STATE,IDLE,3.404
2521,3505,STATE,IDLE,3.505
2605,3604,STATE,IDLE,3.604
2688,3704,STATE,IDLE,3.704
2771,3804,STATE,IDLE,3.804
2854,3904,STATE,IDLE,3.904
2939,4005,STATE,IDLE,4.005
3023,4104,STATE,IDLE,4.104
3107,4204,STATE,IDLE,4.204
3190,4304,STATE,IDLE,4.304
3273,4404,STATE,IDLE,4.404
3358,4505,STATE,IDLE,4.505
3442,4604,STATE,IDLE,4.604
3525,4704,STATE,IDLE,4.704
3608,4804,STATE,IDLE,4.804
3690,4906,STATE,IDLE,4.906
3771,5006,STATE,IDLE,5.006
3848,5305,STATE,IDLE,5.305
3932,5404,STATE,IDLE,5.404
4015,5505,STATE,IDLE,5.505
4101,5604,STATE,IDLE,5.604
4184,5704,STATE,IDLE,5.704
4267,5804,STATE,IDLE,5.804
4350,5904,STATE,IDLE,5.904
4435,6005,STATE,IDLE,6.005
4519,6104,STATE,IDLE,6.104
4603,6204,STATE,IDLE,6.204
4686,6304,STATE,IDLE,6.304
4769,6404,STATE,IDLE,6.404
4853,6505,STATE,IDLE,6.505
4938,6604,STATE,IDLE,6.604
5021,6704,STATE,IDLE,6.704
5104,6804,STATE,IDLE,6.804
5187,6904,STATE,IDLE,6.904
5271,7005,STATE,IDLE,7.005
5356,7104,STATE,IDLE,7.104
5440,7204,STATE,IDLE,7.204
5523,7304,STATE,IDLE,7.304
5606,7404,STATE,IDLE,7.404
5689,7505,STATE,IDLE,7.505
5775,7604,STATE,IDLE,7.604
5858,7704,STATE,IDLE,7.704
5941,7804,STATE,IDLE,7.804
6024,7904,STATE,IDLE,7.904
6110,8005,STATE,IDLE,8.005
6193,8104,STATE,IDLE,8.104
6277,8204,STATE,IDLE,8.204
6360,8304,STATE,IDLE,8.304
6443,8404,STATE,IDLE,8.404
6528,8505,STATE,IDLE,8.505
6612,8604,STATE,IDLE,8.604
6695,8704,STATE,IDLE,8.704
6778,8804,STATE,IDLE,8.804
6861,8904,STATE,IDLE,8.904
6945,9005,STATE,IDLE,9.005
7030,9104,STATE,IDLE,9.104
7113,9204,STATE,IDLE,9.204
7197,9304,STATE,IDLE,9.304
7280,9404,STATE,IDLE,9.404
7364,9505,STATE,IDLE,9.505
7449,9604,STATE,IDLE,9.604
7532,9704,STATE,IDLE,9.704
7615,9804,STATE,IDLE,9.804
7698,9904,STATE,IDLE,9.904
7783,10005,STATE,IDLE,10.005
7867,10104,STATE,IDLE,10.104
7950,10204,STATE,IDLE,10.204
8034,10304,STATE,IDLE,10.304
8117,10404,STATE,IDLE,10.404
8201,10505,STATE,IDLE,10.505
8286,10604,STATE,IDLE,10.604
8369,10704,STATE,IDLE,10.704
8452,10804,STATE,IDLE,10.804
8535,10904,STATE,IDLE,10.904
8619,11005,STATE,IDLE,11.005
8704,11104,STATE,IDLE,11.104
8787,11204,STATE,IDLE,11.204
8871,11304,STATE,IDLE,11.304
8954,11404,STATE,IDLE,11.404
9039,11505,STATE,IDLE,11.505
9123,11604,STATE,IDLE,11.604
9206,11704,STATE,IDLE,11.704
9289,11804,STATE,IDLE,11.804
9372,11904,STATE,IDLE,11.904
9457,12005,STATE,IDLE,12.005
9541,12104,STATE,IDLE,12.104
9624,12204,STATE,IDLE,12.204
9708,12304,STATE,IDLE,12.304
9791,12404,STATE,IDLE,12.404
9876,12505,STATE,IDLE,12.505
9960,12604,STATE,IDLE,12.604
10043,12704,STATE,IDLE,12.704
10125,12805,STATE,IDLE,12.805
10209,12904,STATE,IDLE,12.904
10294,13005,STATE,IDLE,13.005
10378,13104,STATE,IDLE,13.104
10461,13204,STATE,IDLE,13.204
10544,13305,STATE,IDLE,13.305
10628,13404,STATE,IDLE,13.404
10713,13505,STATE,IDLE,13.505
10797,13604,STATE,IDLE,13.604
10880,13704,STATE,IDLE,13.704
10963,13804,STATE,IDLE,13.804
11046,13904,STATE,IDLE,13.904
11130,14005,STATE,IDLE,14.005
11215,14104,STATE,IDLE,14.104
11298,14204,STATE,IDLE,14.204
11381,14304,STATE,IDLE,14.304
11465,14404,STATE,IDLE,14.404
11549,14505,STATE,IDLE,14.505
11634,14604,STATE,IDLE,14.604
11717,14704,STATE,IDLE,14.704
11800,14804,STATE,IDLE,14.804
11883,14904,STATE,IDLE,14.904
11967,15005,STATE,IDLE,15.005
12052,15104,STATE,IDLE,15.104
12135,15204,STATE,IDLE,15.204
12218,15304,STATE,IDLE,15.304
12302,15404,STATE,IDLE,15.404
12385,15505,STATE,IDLE,15.505
12471,15604,STATE,IDLE,15.604
12554,15704,STATE,IDLE,15.704
12637,15804,STATE,IDLE,15.804
12720,15904,STATE,IDLE,15.904
12805,16005,STATE,IDLE,16.005
12889,16104,STATE,IDLE,16.104
12972,16204,STATE,IDLE,16.204
13055,16304,STATE,IDLE,16.304
13139,16404,STATE,IDLE,16.404
13222,16505,STATE,IDLE,16.505
13308,16604,STATE,IDLE,16.604
13391,16704,STATE,IDLE,16.704
13474,16804,STATE,IDLE,16.804
13557,16904,STATE,IDLE,16.904
13640,17005,STATE,IDLE,17.005
13726,17104,STATE,IDLE,17.104
13809,17204,STATE,IDLE,17.204
13892,17304,STATE,IDLE,17.304
13976,17404,STATE,IDLE,17.404
14061,17505,STATE,IDLE,17.505
14145,17604,STATE,IDLE,17.604
14228,17704,STATE,IDLE,17.704
14311,17804,STATE,IDLE,17.804
14394,17904,STATE,IDLE,17.904
14479,18005,STATE,IDLE,18.005
14563,18104,STATE,IDLE,18.104
14646,18204,STATE,IDLE,18.204
14729,18304,STATE,IDLE,18.304
14813,18404,STATE,IDLE,18.404
14898,18505,STATE,IDLE,18.505
14982,18604,STATE,IDLE,18.604
15065,18704,STATE,IDLE,18.704
15148,18804,STATE,IDLE,18.804
15231,18904,STATE,IDLE,18.904
15316,19005,STATE,IDLE,19.005
15400,19104,STATE,IDLE,19.104
15483,19204,STATE,IDLE,19.204
15566,19304,STATE,IDLE,19.304
15649,19404,STATE,IDLE,19.404
15735,19505,STATE,IDLE,19.505
15819,19604,STATE,IDLE,19.604
15902,19704,STATE,IDLE,19.704
15985,19804,STATE,IDLE,19.804
16068,19904,STATE,IDLE,19.904
16153,20005,STATE,IDLE,20.005
16237,20104,STATE,IDLE,20.104
16320,20204,STATE,IDLE,20.204
16403,20304,STATE,IDLE,20.304
16486,20404,STATE,IDLE,20.404
16572,20505,STATE,IDLE,20.505
16656,20604,STATE,IDLE,20.604
16739,20704,STATE,IDLE,20.704
16822,20804,STATE,IDLE,20.804
16905,20904,STATE,IDLE,20.904
16990,21005,STATE,IDLE,21.005
17074,21104,STATE,IDLE,21.104
17157,21204,STATE,IDLE,21.204
17240,21304,STATE,IDLE,21.304
17323,21404,STATE,IDLE,21.404
17409,21505,STATE,IDLE,21.505
17493,21604,STATE,IDLE,21.604
17576,21704,STATE,IDLE,21.704
17659,21804,STATE,IDLE,21.804
17742,21904,STATE,IDLE,21.904
17825,22005,STATE,IDLE,22.005
17911,22104,STATE,IDLE,22.104
17994,22204,STATE,IDLE,22.204
18077,22304,STATE,IDLE,22.304
18160,22404,STATE,IDLE,22.404
18246,22505,STATE,IDLE,22.505
18329,22605,STATE,IDLE,22.605
18413,22704,STATE,IDLE,22.704
18496,22804,STATE,IDLE,22.804
18579,22904,STATE,IDLE,22.904
18662,23005,STATE,IDLE,23.005
18748,23104,STATE,IDLE,23.104
18831,23204,STATE,IDLE,23.204
18914,23304,STATE,IDLE,23.304
18997,23404,STATE,IDLE,23.404
19083,23505,STATE,IDLE,23.505
19167,23604,STATE,IDLE,23.604
19250,23704,STATE,IDLE,23.704
19333,23804,STATE,IDLE,23.804
19416,23904,STATE,IDLE,23.904
19500,24005,STATE,IDLE,24.005
19585,24104,STATE,IDLE,24.104
19668,24204,STATE,IDLE,24.204
19751,24304,STATE,IDLE,24.304
19834,24404,STATE,IDLE,24.404
19919,24505,STATE,IDLE,24.505
20004,24604,STATE,IDLE,24.604
20087,24704,STATE,IDLE,24.704
20170,24804,STATE,IDLE,24.804
20253,24904,STATE,IDLE,24.904
20337,25005,STATE,IDLE,25.005
20422,25104,STATE,IDLE,25.104
20505,25204,STATE,IDLE,25.204
20588,25304,STATE,IDLE,25.304
20671,25404,STATE,IDLE,25.404
20755,25505,STATE,IDLE,25.505
20841,25604,STATE,IDLE,25.604
20924,25704,STATE,IDLE,25.704
21007,25804,STATE,IDLE,25.804
21090,25904,STATE,IDLE,25.904
21175,26005,STATE,IDLE,26.005
21259,26104,STATE,IDLE,26.104
21342,26204,STATE,IDLE,26.204
21425,26304,STATE,IDLE,26.304
21508,26404,STATE,IDLE,26.404
21592,26505,STATE,IDLE,26.505
21678,26604,STATE,IDLE,26.604
21761,26704,STATE,IDLE,26.704
21844,26804,STATE,IDLE,26.804
21927,26904,STATE,IDLE,26.904
22011,27005,STATE,IDLE,27.005
22096,27104,STATE,IDLE,27.104
22179,27204,STATE,IDLE,27.204
22262,27304,STATE,IDLE,27.304
22345,27404,STATE,IDLE,27.404
22430,27505,STATE,IDLE,27.505
22515,27604,STATE,IDLE,27.604
22598,27704,STATE,IDLE,27.704
22681,27804,STATE,IDLE,27.804
22764,27904,STATE,IDLE,27.904
22847,28005,STATE,IDLE,28.005
22933,28104,STATE,IDLE,28.104
23016,28204,STATE,IDLE,28.204
23099,28304,STATE,IDLE,28.304
23182,28406,STATE,IDLE,28.406
23266,28505,STATE,IDLE,28.505
23351,28605,STATE,IDLE,28.605
23435,28704,STATE,IDLE,28.704
23518,28804,STATE,IDLE,28.804
23601,28904,STATE,IDLE,28.904
23684,29005,STATE,IDLE,29.005
23770,29104,STATE,IDLE,29.104
23853,29204,STATE,IDLE,29.204
23936,29304,STATE,IDLE,29.304
24019,29404,STATE,IDLE,29.404
24104,29505,STATE,IDLE,29.505
24188,29604,STATE,IDLE,29.604
24272,29704,STATE,IDLE,29.704
24355,29804,STATE,IDLE,29.804
24438,29904,STATE,IDLE,29.904
24522,30005,STATE,IDLE,30.005
24607,30104,STATE,IDLE,30.104
24690,30204,STATE,IDLE,30.204
24773,30304,STATE,IDLE,30.304
24856,30404,STATE,IDLE,30.404
24940,30505,STATE,IDLE,30.505
25025,30604,STATE,IDLE,30.604
25109,30704,STATE,IDLE,30.704
25192,30804,STATE,IDLE,30.804
25275,30904,STATE,IDLE,30.904
25360,31005,STATE,IDLE,31.005
25444,31104,STATE,IDLE,31.104
25527,31204,STATE,IDLE,31.204
25610,31304,STATE,IDLE,31.304
25693,31404,STATE,IDLE,31.404
25778,31505,STATE,IDLE,31.505
25862,31604,STATE,IDLE,31.604
25946,31704,STATE,IDLE,31.704
26029,31804,STATE,IDLE,31.804
26112,31904,STATE,IDLE,31.904
26197,32005,STATE,IDLE,32.005
26281,32104,STATE,IDLE,32.104
26364,32204,STATE,IDLE,32.204
26447,32304,STATE,IDLE,32.304
26530,32404,STATE,IDLE,32.404
26615,32505,STATE,IDLE,32.505
26699,32604,STATE,IDLE,32.604
26783,32704,STATE,IDLE,32.704
26866,32804,STATE,IDLE,32.804
26949,32904,STATE,IDLE,32.904
27034,33005,STATE,IDLE,33.005
27118,33104,STATE,IDLE,33.104
27201,33204,STATE,IDLE,33.204
27284,33304,STATE,IDLE,33.304
27367,33404,STATE,IDLE,33.404
27452,33505,STATE,IDLE,33.505
27536,33604,STATE,IDLE,33.604
27620,33704,STATE,IDLE,33.704
27703,33804,STATE,IDLE,33.804
27786,33904,STATE,IDLE,33.904
27871,34005,STATE,IDLE,34.005
27955,34104,STATE,IDLE,34.104
28038,34204,STATE,IDLE,34.204
28121,34304,STATE,IDLE,34.304
28204,34404,STATE,IDLE,34.404
28289,34505,STATE,IDLE,34.505
28373,34604,STATE,IDLE,34.604
28456,34704,STATE,IDLE,34.704
28540,34804,STATE,IDLE,34.804
28623,34904,STATE,IDLE,34.904
28709,35005,STATE,IDLE,35.005
28792,35104,STATE,IDLE,35.104
28875,35204,STATE,IDLE,35.204
28958,35304,STATE,IDLE,35.304
29041,35404,STATE,IDLE,35.404
29126,35505,STATE,IDLE,35.505
29210,35604,STATE,IDLE,35.604
29293,35704,STATE,IDLE,35.704
29377,35804,STATE,IDLE,35.804
29460,35904,STATE,IDLE,35.904
29544,36005,STATE,IDLE,36.005
29629,36104,STATE,IDLE,36.104
29712,36204,STATE,IDLE,36.204
29795,36304,STATE,IDLE,36.304
29878,36404,STATE,IDLE,36.404
29963,36505,STATE,IDLE,36.505
30047,36604,STATE,IDLE,36.604
30130,36704,STATE,IDLE,36.704
30214,36804,STATE,IDLE,36.804
30297,36904,STATE,IDLE,36.904
30382,37005,STATE,IDLE,37.005
30466,37104,STATE,IDLE,37.104
30549,37204,STATE,IDLE,37.204
30632,37304,STATE,IDLE,37.304
30715,37404,STATE,IDLE,37.404
30799,37505,STATE,IDLE,37.505
30884,37604,STATE,IDLE,37.604
30967,37704,STATE,IDLE,37.704
31051,37804,STATE,IDLE,37.804
31134,37904,STATE,IDLE,37.904
31217,38005,STATE,IDLE,38.005
